CAS          NAME   CLASS  LOGP  LOGMOLAR  ESTIMATE   ERROR    WSOL       MP    MOLWT
002642-71-9  AZINPHOS ETHYL                              8    3.40    -4.517    -4.254  -0.263   1.05E+01    53.0  345.38
002655-14-3  N-ME-3,5-DIMETHYLPHENYL CARBAMATE           8    2.23    -2.581    -2.691   0.11    4.70E+02    99.0  179.22
002921-88-2  CHLORPYRIFOS                                8    4.96    -5.496    -5.321  -0.175   1.12E+00    41.5  350.59
003060-89-7  METOBROMURON                                8    2.38    -2.895    -3.054   0.159   3.30E+02    95.5  259.11
003337-71-1  ASULAM                                      8    -.27    -1.663    -0.865  -0.798   5.00E+03   144.0  230.24
003383-96-8  ABATE                                       8    5.96    -6.237    -6.539   0.302   2.70E-01    30.0  466.47
003566-00-5  METHIOCARB                                  8    2.47    -3.973    -3.236  -0.736   2.40E+01   117.5  225.30
003766-60-7  BUTURON                                     8    3.00    -3.897    -4.039   0.142   3.00E+01   145.5  236.70
003766-81-2  N-ME O-SEC-BUPHENYL CARBAMATE               8    2.78    -2.497    -2.691   0.194   6.60E+02    32.0  207.27
003811-49-2  SALITHION                                   8    2.67    -3.571    -2.829  -0.742   5.80E+01    55.5  216.20
004824-78-6  BROMOPHOS ETHYL                             8    6.15    -5.952    -6.448   0.496   4.40E-01    Liq   394.06
005598-13-0  CHLORPYRIFOS METHYL                         8    4.11    -4.831    -4.458  -0.373   4.76E+00    46.0  322.54
005902-51-2  TERBACIL                                    8    1.89    -2.485    -3.191   0.706   7.10E+02   176.0  216.67
005915-41-3  TERBUTHYLAZINE                              8    3.06    -4.402    -4.326  -0.076   8.50E+00   178.0  214.70
006190-65-4  DESETHYLATRAZINE                            8    1.51    -2.706    -2.68   -0.027   3.69E+02   170.0  187.63
007287-19-6  PROMETRYNE                                  8    3.34    -3.864    -4.136   0.272   3.30E+01   119.0  241.36
007287-36-7  MONALIDE                                    8    3.83    -4.022    -4.311   0.29    2.28E+01    87.5  239.74
007292-16-2  PROPAPHOS                                   8    3.44    -3.386    -3.565   0.178   1.25E+02    Liq   304.35
010265-92-6  METHAMIDPHOS                                8    -.66     0.85      0.617   0.234   1.00E+06    54.0  141.13
010311-84-9  DIALIFOR                                    8    4.69    -6.34     -5.441  -0.899   1.80E-01    68.0  393.85
013067-93-1  CYANOFENPHOS                                8    4.29    -5.704    -5.273  -0.431   6.00E-01    83.0  303.32
013071-79-9  TERBUFOS                                    8    3.68    -4.755    -3.784  -0.971   5.07E+00    29.2  288.43
013360-45-7  CHLORBROMURON                               8    3.21    -3.924    -3.973   0.049   3.50E+01    97.0  293.55
014816-18-3  PHOXIM                                      8    4.39    -4.63     -4.82    0.19    7.00E+00    Liq   298.30
015457-05-3  FLUORODIFEN                                 8    3.65    -5.215    -4.944  -0.271   2.00E+00    90.0  328.21
015545-48-9  CHLORTOLURON                                8    2.41    -3.483    -3.415  -0.067   7.00E+01   147.5  212.68
015972-60-8  ALACHLOR                                    8    3.52    -3.051    -3.671   0.62    2.40E+02    40.0  269.77
016752-77-5  METHOMYL                                    8     .60    -0.447    -0.884   0.438   5.80E+04    78.5  162.21
017109-49-8  EDIFENPHOS                                  8    3.48    -3.331    -3.622   0.292   1.45E+02    Liq   310.38
017804-35-2  BENOMYL                                     8    2.42    -4.883    -5.072   0.189   3.80E+00   300.0  290.32
018181-70-9  IODOFENPHOS                                 8    5.51    -6.616    -6.362  -0.254   1.00E-01    76.0  413.00
019666-30-9  OXADIAZON                                   8    4.55    -5.693    -5.338  -0.355   7.00E-01    88.0  345.23
019937-59-8  METOXURON                                   8    1.50    -2.581    -2.394  -0.187   6.00E+02   126.0  228.68
021087-64-9  METRIBUZIN                                  8    1.70    -2.245    -2.541   0.296   1.22E+03   126.0  214.29
021609-90-5  LEPTOPHOS                                   8    6.31    -7.138    -7.076  -0.062   3.00E-02    70.4  412.08
021725-46-2  CYANAZINE                                   8    2.22    -3.151    -3.5     0.349   1.70E+02   167.0  240.70
022224-92-6  FENAMIPHOS                                  8    3.23    -2.965    -3.583   0.618   3.29E+02    49.2  303.36
023135-22-0  OXAMYL                                      8    -.48     0.106    -0.234   0.34    2.80E+05   101.0  219.26
023505-41-1  PIRIMIPHOS ETHYL                            8    4.80    -4.924    -4.962   0.037   3.97E+00    Liq   333.39
024017-47-8  TRIAZOPHOS                                  8    3.55    -4.102    -3.696  -0.406   2.47E+01    Liq   312.33
024151-93-7  PIPEROPHOS                                  8    4.04    -4.15     -4.295   0.145   2.50E+01    Liq   353.49
025057-89-0  BENTAZONE                                   8    2.34    -2.682    -3.347   0.666   5.00E+02   138.0  240.28
025311-71-1  ISOFENPHOS                                  8    4.12    -4.194    -4.347   0.153   2.21E+01    Liq   345.40
026087-47-8  IBP (IPROFENFOS)                            8    3.34    -2.858    -3.419   0.561   4.00E+02    Liq   288.35
027355-22-2  TETRACHLOROPHTHALIDE                        8    3.08    -5.037    -4.81   -0.226   2.50E+00   209.0  271.92
028249-77-6  THIOBENCARB                                 8    3.40    -3.964    -3.38   -0.584   2.80E+01    Liq   257.78
029232-93-7  PIRIMIPHOS-METHYL                           8    4.20    -4.133    -4.298   0.165   2.25E+01    Liq   305.34
030560-19-1  ACEPHATE                                    8    -.85     0.65      0.382   0.268   8.18E+05    85.0  183.17
032809-16-8  PROCYMIDONE                                 8    3.08    -4.8      -4.444  -0.357   4.50E+00   165.0  284.14
033693-04-8  TERBUMETON                                  8    3.10    -3.239    -3.896   0.658   1.30E+02   123.5  225.30
034123-59-6  ISOPROTURON                                 8    2.87    -3.536    -3.938   0.402   6.00E+01   158.5  206.29
035367-38-5  DIFLUBENZURON                               8    3.88    -6.015    -5.902  -0.113   3.00E-01   231.0  310.69
039923-25-6  AZINPHOS-ETHYL, O-ANALOG                    8    1.63    -1.993    -2.536   0.544   3.35E+03    56.5  329.32
041198-08-7  PROFENOFOS                                  8    4.68    -4.125    -4.973   0.848   2.80E+01    Liq   373.64
042509-80-8  ISAZOFOS                                    8    3.82    -3.32     -3.959   0.639   1.50E+02    Liq   313.74
042576-02-3  BIFENOX                                     8    4.34    -5.934    -5.605  -0.33    3.98E-01    85.0  342.14
042874-03-3  OXYFLUOREN                                  8    4.73    -6.558    -5.948  -0.61    1.00E-01    75.0  361.70
043121-43-3  TRIADIMEFON                                 8    3.26    -3.614    -3.886   0.272   7.15E+01    82.3  293.76
050512-35-1  IPT (ISOPROTHIOLANE)                        8    2.88    -3.782    -3.235  -0.547   4.80E+01    52.3  290.40
051338-27-3  DICLOFOP-METHYL                             8    4.62    -3.834    -4.951   1.117   5.00E+01    40.0  341.19
051630-58-1  FENVALERATE                                 8    6.20    -7.243    -7.261   0.018   2.40E-02    60.0  419.91
052315-07-8  CYPERMETHRIN                                8    6.32    -8.017    -7.457  -0.56    4.00E-03    70.0  416.31
052645-53-1  PERMETHRIN                                  8    6.50    -6.99     -6.877  -0.114   4.00E-02    36.0  391.30
055179-31-2  BITERTANOL                                  8    4.30    -4.829    -5.433   0.603   5.00E+00   127.0  337.42
055219-65-3  TRIADIMENOL                                 8    2.90    -3.392    -3.838   0.447   1.20E+02   114.0  295.77
057837-19-1  METALAXYL                                   8    1.65    -1.601    -2.196   0.595   7.00E+03    71.5  279.34
059669-26-0  THIODICARB                                  8    1.70    -4.269    -3.367  -0.901   1.91E+01   168.0  354.47
065907-30-4  FURATHIOCARB                                8    4.70    -4.583    -5.02    0.437   1.0E+01     Liq   382.48
067747-09-5  PROCHLORAZ                                  8    4.10    -4.044    -4.564   0.519   3.40E+01    40.0  376.67
070124-77-5  FLUCYTHRINATE                               8    6.20    -6.876    -7.038   0.162   6.00E-02    Liq   451.47
074070-46-5  ACLONIFEN                                   8    4.04    -5.025    -5.041   0.016   2.50E+00    81.5  264.70
074222-97-2  SULFOMETURON                                8    1.20    -3.084    -3.195   0.11    3.00E+02   198.0  364.38
074223-64-6  METSULFURON-METHYL                          8     .01    -1.604    -1.738   0.134   9.50E+03   158.0  381.37
075736-33-3  DICLOBUTRAZOL                               8    3.80    -4.562    -5.117   0.555   9.00E+00   148.0  328.20
076738-62-0  PACLOBUTRAZOL                               8    3.20    -3.924    -4.594   0.67    3.50E+01   165.5  293.80
083055-99-6  BENSULFURON-METHYL                          8    1.80    -3.534    -3.823   0.289   1.20E+02   188.0  410.41
083121-18-0  TEFLUBENZURON                               8    4.56    -7.28     -6.698  -0.582   2.00E-02   222.5  381.12
090982-32-4  CHLORIMURON-ETHYL                           8    2.50    -4.576    -4.491  -0.086   1.10E+01   186.0  414.83
000092-52-4  BIPHENYL                                    9    3.98    -4.347    -4.026  -0.321   6.94E+00    70.0  154.21
000092-66-0  4-BROMOBIPHENYL                             9    4.96    -5.553    -5.412  -0.14    6.53E-01    91.5  233.11
000644-08-6  4-METHYL-1,1'-BIPHENYL                      9    4.63    -4.618    -4.505  -0.113   4.05E+00    49.5  168.24
002050-67-1  3,3'-DICHLOROBIPHENYL                       9    5.27    -5.798    -5.103  -0.695   3.55E-01    29.0  223.10
002050-68-2  4,4'-DICHLOROBIPHENYL                       9    4.82    -6.556    -5.775  -0.781   6.20E-02   149.0  223.10
002051-24-3  DECACHLOROBIPHENYL                          9    8.27   -10.827   -11.388   0.561   7.43E-06   305.0  498.66
002051-60-7  2-CHLOROBIPHENYL                            9    4.60    -4.592    -4.38   -0.212   4.83E+00    32.0  188.66
002051-61-8  3-CHLOROBIPHENYL                            9    4.42    -4.716    -4.142  -0.573   3.63E+00    Liq   188.66
002051-62-9  4-CHLOROBIPHENYL                            9    4.40    -5.149    -4.602  -0.547   1.34E+00    77.0  188.66
002136-99-4  2,2',3,3',5,5',6,6'-OCTACHLOROBIPHENYL      9    7.73    -9.466    -9.328  -0.138   1.47E-04   161.0  429.77
002437-79-8  2,2',4,4'-TETRACHLOROBIPHENYL               9    6.29    -6.732    -6.418  -0.314   5.41E-02    42.0  291.99
002974-92-7  3,4-DICHLOROBIPHENYL                        9    5.29    -6.39     -5.311  -1.079   9.09E-02    49.5  223.10
007012-37-5  2,4,4'-PCB                                  9    5.62    -5.979    -5.805  -0.174   2.70E-01    57.0  257.55
013029-08-8  2,2'-DICHLOROBIPHENYL                       9    4.97    -5.081    -5.11    0.028   1.85E+00    61.0  223.10
015862-07-4  2,4,5-PCB                                   9    5.81    -6.199    -6.172  -0.027   1.63E-01    77.0  257.55
015968-05-5  2,2',6,6'-PCB                               9    5.94    -7.39     -7.518   0.128   1.19E-02   198.0  291.99
016605-91-7  2,3-DICHLOROBIPHENYL                        9    5.02    -5.35     -4.827  -0.523   9.97E-01    Liq   223.10
016606-02-3  2,4',5-TRICHLOROBIPHENYL                    9    5.69    -6.256    -5.964  -0.291   1.43E-01    67.0  257.55
018259-05-7  2,3,4,5,6-PCB                               9    6.75    -7.911    -7.713  -0.197   4.01E-03   123.0  326.44
025569-80-6  2,3'-PCB                                    9    5.02    -5.585    -4.827  -0.759   5.80E-01    Liq   223.10
031508-00-6  2',3,4,4',5'-PCB                            9    7.12    -7.387    -7.94    0.553   1.34E-02   109.0  326.44
032598-10-0  2,3',4,4'-TETRACHLOROBIPHENYL               9    5.45    -6.9      -6.403  -0.496   3.68E-02   128.0  291.99
032598-11-1  2,3',4',5-PCB                               9    6.23    -6.853    -6.931   0.079   4.10E-02   104.0  291.99
032598-13-3  3,3',4,4'-PCB                               9    6.63    -8.71     -8.042  -0.668   5.69E-04   183.0  291.99
032690-93-0  2,4,4',5-PCB                                9    6.67    -7.77     -7.538  -0.232   4.96E-03   124.0  291.99
033025-41-1  2,3,4,4'-PCB                                9    5.84    -6.875    -6.906   0.031   3.89E-02   142.0  291.99
033146-45-1  2,6-DICHLOROBIPHENYL                        9    4.98    -4.966    -4.88   -0.086   2.41E+00    35.0  223.10
033284-50-3  2,4-DICHLOROBIPHENYL                        9    5.16    -5.288    -4.961  -0.327   1.15E+00    Liq   223.10
033284-53-6  2,3,4,5-PCB                                 9    6.41    -7.319    -6.994  -0.326   1.40E-02    92.0  291.99
033979-03-2  2,2',4,4',6,6'-PCB                          9    7.55    -8.947    -8.493  -0.454   4.08E-04   112.5  360.88
034883-39-1  2,5-DICHLOROBIPHENYL                        9    5.10    -5.299    -4.903  -0.396   1.12E+00    Liq   223.10
034883-43-7  2,4'-DICHLOROBIPHENYL                       9    5.09    -5.28     -5.059  -0.221   1.17E+00    43.0  223.10
035065-27-1  2,4,5,2',4',5'-PCB                          9    7.75    -8.58     -8.598   0.018   9.50E-04   103.0  360.88
035065-28-2  2,2',3,4,4',5'-HEXACHLOROBIPHENYL           9    7.44    -8.381    -8.093  -0.288   1.50E-03    80.5  360.88
035693-92-6  2,4,6-PCB                                   9    5.47    -6.009    -5.712  -0.298   2.52E-01    62.5  257.55
035693-99-3  2,2',5,5'-PCB                               9    6.09    -7.281    -6.64   -0.64    1.53E-02    87.0  291.99
035694-06-5  2,2',3,4,4',5-PCB                           9    7.44    -8.52     -8.061  -0.459   1.09E-03    77.0  360.88
036355-01-8  HEXABROMOBIPHENYL                           9    6.39    -7.756    -7.844   0.088   1.10E-02    72.0  627.62
037680-65-2  2,2',5-TRICHLOROBIPHENYL                    9    5.55    -5.809    -5.618  -0.19    4.00E-01    44.0  257.55
037680-66-3  2,2',4-TRICHLOROBIPHENYL                    9    5.76    -6.49     -5.875  -0.615   8.33E-02    50.0  257.55
037680-73-2  2,4,5,2',5'-PCB                             9    6.80    -7.326    -7.334   0.007   1.54E-02    76.5  326.44
038379-99-6  2,2',3,5',6-PCB                             9    6.55    -7.19     -7.255   0.065   2.11E-02    94.0  326.44
038380-01-7  2,2',4,4',5-PENTACHLOROBIPHENYL             9    7.21    -7.95     -7.943  -0.007   3.66E-03   100.0  326.44
038380-02-8  2,2',3,4,5'-PENTACHLOROBIPHENYL             9    6.37    -7.045    -7.247   0.202   2.94E-02   112.0  326.44
038380-03-9  2,3,3',4',6-PENTACHLOROBIPHENYL             9    6.53    -7.65     -7.291  -0.359   7.31E-03   100.0  326.44
038380-07-3  2,2',3,3',4,4'-PCB                          9    7.31    -9.013    -8.608  -0.406   3.50E-04   150.0  360.88
038411-22-2  2,2',3,3',6,6'-HEXACHLOROBIPHENYL           9    6.51    -7.903    -7.508  -0.395   4.51E-03   114.0  360.88
038444-73-4  2,2',6-PCB                                  9    5.48    -5.9      -5.606  -0.294   3.24E-01    50.0  257.55
038444-77-8  2,4',6-TRICHLOROBIPHENYL                    9    5.75    -6.209    -5.958  -0.252   1.59E-01    60.0  257.55
038444-78-9  2,2',3'-PCB                                 9    5.31    -5.944    -5.242  -0.702   2.93E-01    28.1  257.55
038444-81-4  2,3',5-PCB                                  9    5.76    -6.008    -5.783  -0.225   2.53E-01    40.0  257.55
038444-85-8  2,3,4'-PCB                                  9    5.42    -6.259    -5.724  -0.535   1.42E-01    69.0  257.55
038444-86-9  2',3,4-TRICHLOROBIPHENYL                    9    5.57    -6.287    -5.785  -0.502   1.33E-01    60.0  257.55
038444-90-5  3,4,4'-TRICHLOROBIPHENYL                    9    5.78    -6.554    -6.244  -0.31    7.19E-02    88.0  257.55
038444-93-8  2,2',3,3'-TETRACHLOROBIPHENYL               9    6.18    -7.272    -7.04   -0.233   1.56E-02   121.0  291.99
041464-39-5  2,2',3,5'-TETRACHLOROBIPHENYL               9    5.81    -6.465    -6.004  -0.462   1.00E-01    47.0  291.99
041464-40-8  2,2',4,5'-TETRACHLOROBIPHENYL               9    6.22    -6.573    -6.581   0.009   7.81E-02    67.0  291.99
041464-51-1  2,2',3',4,5-PENTACHLOROBIPHENYL             9    6.67    -7.06     -7.25    0.19    2.84E-02    81.0  326.44
052663-59-9  2,2',3,4-TETRACHLOROBIPHENYL                9    6.11    -6.83     -6.779  -0.051   4.32E-02   100.0  291.99
052663-60-2  2,2',3,3',6-PENTACHLOROBIPHENYL             9    6.04    -6.78     -6.82    0.04    5.42E-02   100.0  326.44
052663-61-3  2,2',3,5,5'-PENTACHLOROBIPHENYL             9    6.79    -7.82     -7.632  -0.188   4.94E-03   110.0  326.44
052744-13-5  2,2',3,3',5,6'-HEXACHLOROBIPHENYL           9    7.15    -7.822    -8.086   0.264   5.44E-03   110.0  360.88
055215-18-4  2,2',3,3',4,5-HEXACHLOROBIPHENYL            9    7.32    -8.421    -8.166  -0.254   1.37E-03   101.0  360.88
000050-32-8  BENZO(A)PYRENE                              10   6.35    -8.192    -7.612  -0.581   1.62E-03   179.0  252.32
000053-70-3  DIBENZ(A,H)ANTHRACENE                       10   6.50    -8.048    -8.666   0.617   2.49E-03   269.0  278.36
000056-49-5  3-METHYLCHOLANTHRENE                        10   6.42    -7.966    -7.734  -0.232   2.90E-03   179.5  268.36
000056-55-3  BENZ(A)ANTHRACENE                           10   5.76    -7.385    -6.795  -0.59    9.40E-03   160.0  228.30
000057-97-6  7,12-DIME-BENZ(A)ANTHRACENE                 10   5.80    -6.624    -6.577  -0.047   6.10E-02   122.5  256.35
000066-71-7  O-PHENANTHROLINE                            10   1.78    -1.826    -2.409   0.583   2.69E+03   115.0  180.21
000083-32-9  ACENAPHTHENE                                10   3.92    -4.597    -4.18   -0.417   3.90E+00    93.0  154.21
000085-01-8  PHENANTHRENE                                10   4.46    -5.19     -4.81   -0.38    1.15E+00    97.0  178.24
000086-73-7  9H-FLUORENE                                 10   4.18    -4.944    -4.66   -0.284   1.89E+00   114.0  166.22
000086-74-8  CARBAZOLE                                   10   3.72    -4.968    -5.427   0.459   1.80E+00   245.0  167.21
000092-24-0  TETRACENE                                   10   5.76    -8.18     -8.46    0.281   1.51E-03   341.0  228.30
000120-12-7  ANTHRACENE                                  10   4.45    -6.614    -5.914  -0.699   4.34E-02   218.0  178.24
000129-00-0  PYRENE                                      10   4.88    -6.176    -5.777  -0.399   1.35E-01   150.0  202.26
000132-65-0  DIBENZOTHIOPHENE                            10   4.38    -5.098    -4.753  -0.346   1.47E+00    97.0  184.26
000191-24-2  BENZO[GHI]PERYLENE                          10   6.90    -9.026    -9.117   0.09    2.60E-04   277.0  276.34
000198-55-0  PERYLENE                                    10   6.25    -8.8      -8.417  -0.382   4.00E-04   277.0  252.32
000206-44-0  FLUORANTHENE                                10   5.16    -5.891    -5.687  -0.204   2.60E-01   111.0  202.26
000208-96-8  ACENAPHTHYLENE                              10   3.94    -3.976    -4.165   0.19    1.61E+01    90.0  152.20
000215-58-7  DIBENZO[A,C]ANTHRACENE                      10   7.11    -8.24     -8.662   0.422   1.60E-03   205.0  278.36
000217-59-4  TRIPHENYLENE                                10   5.49    -6.745    -6.895   0.15    4.11E-02   199.0  228.30
000218-01-9  CHRYSENE                                    10   5.50    -8.057    -7.415  -0.642   2.00E-03   254.5  228.30
000224-41-9  DIBENZO[A,J]ANTHRACENE                      10   7.11    -8.432    -8.58    0.148   1.03E-03   196.0  278.36
000230-46-6  1,7-PHENANTHROLINE                          10   2.51    -2.681    -2.788   0.108   3.76E+02    80.0  180.21
000238-84-6  11H-BENZO(A)FLUORENE                        10   5.40    -6.678    -6.66   -0.018   4.54E-02   187.0  216.29
000239-64-5  13H-DIBENZO(A,I)CARBAZOLE                   10   6.40    -7.423    -8.11    0.687   1.04E-02   220.0  275.40
000243-17-4  11H-BENZO(B)FLUORENE                        10   5.77    -8.034    -7.218  -0.816   2.00E-03   209.0  216.29
000260-94-6  ACRIDINE                                    10   3.40    -3.669    -3.879   0.21    3.84E+01   106.0  179.22
000578-06-3  1-AMINOACRIDINE                             10   2.47    -4.224    -3.742  -0.482   1.16E+01   183.0  194.24
000602-60-8  9-NITROANTHRACENE                           10   4.78    -6.292    -6.206  -0.086   1.14E-01   145.0  223.23
000607-57-8  2-NITROFLUORENE                             10   3.37    -5.99     -4.925  -1.066   2.16E-01   157.0  211.22
000613-12-7  2-METHYLANTHRACENE                          10   5.00    -6.956    -6.357  -0.598   2.13E-02   204.0  192.26
000613-13-8  2-AMINOANTHRACENE                           10   4.13    -5.172    -5.838   0.666   1.30E+00   238.0  193.25
000779-02-2  9-METHYLANTHRACENE                          10   5.07    -5.867    -5.274  -0.593   2.61E-01    79.0  192.26
000781-43-1  9,10-DIMETHYLANTHRACENE                     10   5.69    -6.566    -6.861   0.295   5.60E-02   182.0  206.29
000832-69-9  1-METHYLPHENANTHRENE                        10   5.08    -5.854    -5.643  -0.211   2.69E-01   118.0  192.26
001730-37-6  1-METHYLFLUORENE                            10   4.97    -5.218    -5.214  -0.004   1.09E+00    87.0  180.25
002531-84-2  2-METHYLPHENANTHRENE                        10   4.86    -5.837    -4.88   -0.957   2.80E-01    58.0  192.26
002642-98-0  6-AMINOCHRYSENE                             10   4.99    -6.196    -6.563   0.367   1.55E-01   210.0  243.31
052251-71-5  ETHYLANTHRACENE                             10   5.85    -6.886    -5.883  -1.003   2.68E-02    59.0  206.29
000071-43-2  BENZENE                                     11   2.13    -1.64     -1.597  -0.043   1.79E+03    Liq   78.11
000087-85-4  HEXAMETHYLBENZENE                           11   5.11    -5.839    -6.033   0.194   2.35E-01   167.5  162.28
000095-47-6  O-XYLENE                                    11   3.12    -2.776    -2.635  -0.14    1.78E+02    Liq   106.17
000095-63-6  1,2,4-TRIMETHYLBENZENE                      11   3.78    -3.324    -3.313  -0.011   5.70E+01    Liq   120.20
000095-93-2  1,2,4,5-TETRAMETHYLBENZENE                  11   4.00    -4.586    -4.074  -0.512   3.48E+00    80.0  134.22
000098-06-6  T-BUTYLBENZENE                              11   4.11    -3.658    -3.674   0.016   2.95E+01    Liq   134.22
000098-82-8  CUMENE                                      11   3.66    -3.292    -3.198  -0.095   6.13E+01    Liq   120.20
000098-83-9  ALPHA-METHYLSTYRENE                         11   3.36    -3.008    -2.903  -0.105   1.16E+02    Liq   118.18
000099-87-6  P-CYMENE                                    11   4.10    -3.759    -3.664  -0.094   2.34E+01    Liq   134.22
000100-41-4  ETHYLBENZENE                                11   3.15    -2.798    -2.664  -0.134   1.69E+02    Liq   106.17
000100-42-5  STYRENE                                     11   2.95    -2.526    -2.466  -0.06    3.10E+02    Liq   104.15
000101-81-5  BENZENE, 1,1'-METHYLENEBIS-                 11   4.14    -4.077    -3.818  -0.259   1.41E+01    25.9  168.24
000103-29-7  BIBENZYL                                    11   4.79    -4.627    -4.726   0.099   4.30E+00    52.0  182.27
000103-30-0  STILBENE                                    11   4.81    -5.793    -5.401  -0.392   2.90E-01   124.0  180.25
000103-65-1  N-PROPYLBENZENE                             11   3.57    -3.362    -3.111  -0.251   5.22E+01    Liq   120.20
000104-51-8  N-BUTYLBENZENE                              11   4.38    -4.056    -3.933  -0.123   1.18E+01    Liq   134.22
000105-05-5  P-DIETHYLBENZENE                            11   4.58    -3.733    -4.125   0.392   2.48E+01    Liq   134.22
000106-42-3  P-XYLENE                                    11   3.15    -2.816    -2.664  -0.152   1.62E+02    Liq   106.17
000108-38-3  M-XYLENE                                    11   3.20    -2.819    -2.712  -0.107   1.61E+02    Liq   106.17
000108-67-8  1,3,5-TRIMETHYLBENZENE                      11   3.42    -3.397    -2.967  -0.429   4.82E+01    Liq   120.20
000108-88-3  TOLUENE                                     11   2.73    -2.243    -2.217  -0.027   5.26E+02    Liq   92.14
000135-01-3  O-DIETHYLBENZENE                            11   4.42    -3.276    -3.971   0.696   7.11E+01    Liq   134.22
000135-98-8  SEC-BUTYLBENZENE                            11   4.57    -3.882    -4.115   0.233   1.76E+01    Liq   134.22
000141-93-5  M-DIETHYLBENZENE                            11   4.57    -3.748    -4.115   0.368   2.40E+01    Liq   134.22
000526-73-8  1,2,3-TRIMETHYLBENZENE                      11   3.66    -3.204    -3.198  -0.006   7.52E+01    Liq   120.20
000536-74-3  ETHYNYL BENZENE                             11   2.53    -2.35     -2.056  -0.294   4.56E+02    Liq   102.14
000538-68-1  PENTYLBENZENE                               11   4.90    -4.643    -4.476  -0.167   3.37E+00    Liq   148.25
000538-93-2  ISOBUTYLBENZENE                             11   4.68    -4.123    -4.221   0.098   1.01E+01    Liq   134.22
000611-14-3  1-ETHYL-2-METHYLBENZENE                     11   3.53    -3.207    -3.073  -0.134   7.46E+01    Liq   120.20
000613-33-2  P-TOLYLTOLUENE                              11   5.09    -6.018    -5.686  -0.332   1.75E-01   125.0  182.27
000622-96-8  P-ETHYLTOLUENE                              11   3.63    -3.103    -3.169   0.066   9.49E+01    Liq   120.20
000700-12-9  PENTAMETHYLBENZENE                          11   4.56    -3.981    -4.387   0.407   1.55E+01    50.8  148.25
001077-16-3  N-HEXYLBENZENE                              11   5.52    -5.255    -5.116  -0.139   9.02E-01    Liq   162.28
002189-60-8  OCTYLBENZENE                                11   6.30    -6.46     -5.952  -0.508   6.60E-02    Liq   190.33
000082-68-8  PENTACHLORONITROBENZENE                     12   4.64    -5.817    -6.288   0.471   4.50E-01   144.0  295.34
000087-40-1  2,4,6-TRICHLOROANISOLE                      12   4.11    -4.325    -4.238  -0.087   1.00E+01    60.0  211.48
000087-61-6  1,2,3-TRICHLOROBENZENE                      12   4.05    -4.003    -4.018   0.015   1.80E+01    52.6  181.45
000088-73-3  2-CHLORO-1-NITROBENZENE                     12   2.24    -2.896    -2.521  -0.375   2.00E+02    32.0  157.56
000089-61-2  2,4-DICHLORONITROBENZENE                    12   3.09    -4.137    -3.662  -0.475   1.40E+01    55.5  192.00
000089-69-0  2,4,5-TRICHLORONITROBENZENE                 12   3.48    -3.887    -4.158   0.271   2.94E+01    57.0  226.45
000095-49-8  2-CHLOROTOLUENE                             12   3.42    -2.53     -2.987   0.458   3.74E+02    Liq   126.59
000095-50-1  2-DICHLOROBENZENE                           12   3.38    -2.974    -3.013   0.039   1.56E+02    Liq   147.00
000095-94-3  1,2,4,5-TETRACHLOROBENZENE                  12   4.64    -5.56     -5.492  -0.067   5.95E-01   139.5  215.89
000099-54-7  3,4-DICHLORONITROBENZENE                    12   3.12    -3.201    -3.56    0.359   1.21E+02    41.3  192.00
000100-00-5  P-CHLORONITROBENZENE                        12   2.39    -2.845    -3.125   0.28    2.25E+02    82.0  157.56
000106-37-6  1,4-DIBROMOBENZENE                          12   3.79    -4.072    -4.259   0.187   2.00E+01    87.3  235.92
000106-38-7  P-BROMOTOLUENE                              12   3.42    -3.192    -3.159  -0.032   1.10E+02    28.5  171.04
000106-39-8  P-BROMOCHLOROBENZENE                        12   3.54    -3.63     -3.693   0.063   4.49E+01    67.0  191.46
000106-43-4  P-CHLOROTOLUENE                             12   3.33    -3.077    -2.901  -0.176   1.06E+02    Liq   126.59
000106-46-7  4-DICHLOROBENZENE                           12   3.52    -3.257    -3.406   0.149   8.13E+01    53.1  147.00
000108-36-1  M-DIBROMOBENZENE                            12   3.75    -3.543    -3.648   0.104   6.75E+01    Liq   235.92
000108-37-2  M-BROMOCHLOROBENZENE                        12   3.70    -3.21     -3.46    0.25    1.18E+02    Liq   191.46
000108-70-3  1,3,5-TRICHLOROBENZENE                      12   4.19    -4.48     -4.258  -0.222   6.01E+00    64.0  181.45
000108-86-1  BROMOBENZENE                                12   2.99    -2.547    -2.67    0.124   4.46E+02    Liq   157.02
000108-90-7  CHLOROBENZENE                               12   2.84    -2.354    -2.387   0.032   4.98E+02    Liq   112.56
000117-18-0  2,3,5,6-TETRACHLORONITROBENZENE             12   3.89    -5.096    -5.046  -0.05    2.09E+00    99.0  260.89
000118-74-1  HEXACHLOROBENZENE                           12   5.73    -7.662    -7.576  -0.086   6.20E-03   228.7  284.78
000120-82-1  1,2,4-TRICHLOROBENZENE                      12   3.98    -3.569    -3.697   0.129   4.90E+01    Liq   181.45
000121-73-3  3-CHLORO-NITROBENZENE                       12   2.41    -2.761    -2.813   0.052   2.73E+02    46.0  157.56
000352-11-4  P-FLUOROBENZYL CHLORIDE                     12   2.73    -2.544    -2.704   0.159   4.13E+02    60.0  144.58
