CAS,NAME,CLASS,LOGP,LOGMOLAR,ESTIMATE,ERROR,WSOL,MP,MOLWT,class_name
2032-59-9,AMINOCARB,8,1.9,-2.357,-2.415,0.058,915.0,93.5,208.26,Pesticides
2104-64-5,EPN,8,3.85,-5.017,-4.624,-0.393,3.11,36.0,323.31,Pesticides
2104-96-3,BROMOPHOS,8,5.11,-6.086,-5.624,-0.463,0.3,53.5,366.0,Pesticides
2164-17-2,FLUOMETURON,8,2.2,-3.436,-3.427,-0.01,85.0,164.0,232.21,Pesticides
2212-67-1,MOLINATE,8,3.21,-2.286,-2.977,0.691,970.0,Liq,187.31,Pesticides
2307-68-8,SOLAN,8,4.31,-4.45,-4.74,0.29,8.5,84.0,239.75,Pesticides
2310-17-0,PHOSALONE,8,4.3,-5.233,-4.801,-0.432,2.15,48.0,367.81,Pesticides
2312-35-8,PROPARGITE,8,5.0,-5.846,-5.207,-0.638,0.5,Liq,350.48,Pesticides
2425-10-7,"3,4-DIMEPHENYL N-METHYLCARBAMATE",8,2.09,-2.139,-2.377,0.238,1300.0,79.5,179.22,Pesticides
2463-84-5,DICAPTHON,8,3.58,-4.306,-4.436,0.13,14.7,52.5,297.66,Pesticides
2631-37-0,3-I-PR-5-MEPHENYL-N-ME CARBAMATE,8,3.1,-3.357,-3.509,0.151,91.0,87.5,207.27,Pesticides
2631-40-5,N-METHYL-2-ISOPROPYLPHENYLCARBAMATE,8,2.31,-2.684,-2.729,0.045,400.0,90.0,193.25,Pesticides
2636-26-2,CYANOPHOS,8,2.71,-3.723,-3.034,-0.689,46.0,Liq,243.22,Pesticides
2642-71-9,AZINPHOS ETHYL,8,3.4,-4.517,-4.254,-0.263,10.5,53.0,345.38,Pesticides
2655-14-3,"N-ME-3,5-DIMETHYLPHENYL CARBAMATE",8,2.23,-2.581,-2.691,0.11,470.0,99.0,179.22,Pesticides
2921-88-2,CHLORPYRIFOS,8,4.96,-5.496,-5.321,-0.175,1.12,41.5,350.59,Pesticides
3060-89-7,METOBROMURON,8,2.38,-2.895,-3.054,0.159,330.0,95.5,259.11,Pesticides
3337-71-1,ASULAM,8,-0.27,-1.663,-0.865,-0.798,5000.0,144.0,230.24,Pesticides
3383-96-8,ABATE,8,5.96,-6.237,-6.539,0.302,0.27,30.0,466.47,Pesticides
3566-00-5,METHIOCARB,8,2.47,-3.973,-3.236,-0.736,24.0,117.5,225.3,Pesticides
3766-60-7,BUTURON,8,3.0,-3.897,-4.039,0.142,30.0,145.5,236.7,Pesticides
3766-81-2,N-ME O-SEC-BUPHENYL CARBAMATE,8,2.78,-2.497,-2.691,0.194,660.0,32.0,207.27,Pesticides
3811-49-2,SALITHION,8,2.67,-3.571,-2.829,-0.742,58.0,55.5,216.2,Pesticides
4824-78-6,BROMOPHOS ETHYL,8,6.15,-5.952,-6.448,0.496,0.44,Liq,394.06,Pesticides
5598-13-0,CHLORPYRIFOS METHYL,8,4.11,-4.831,-4.458,-0.373,4.76,46.0,322.54,Pesticides
5902-51-2,TERBACIL,8,1.89,-2.485,-3.191,0.706,710.0,176.0,216.67,Pesticides
5915-41-3,TERBUTHYLAZINE,8,3.06,-4.402,-4.326,-0.076,8.5,178.0,214.7,Pesticides
6190-65-4,DESETHYLATRAZINE,8,1.51,-2.706,-2.68,-0.027,369.0,170.0,187.63,Pesticides
7287-19-6,PROMETRYNE,8,3.34,-3.864,-4.136,0.272,33.0,119.0,241.36,Pesticides
7287-36-7,MONALIDE,8,3.83,-4.022,-4.311,0.29,22.8,87.5,239.74,Pesticides
7292-16-2,PROPAPHOS,8,3.44,-3.386,-3.565,0.178,125.0,Liq,304.35,Pesticides
10265-92-6,METHAMIDPHOS,8,-0.66,0.85,0.617,0.234,1000000.0,54.0,141.13,Pesticides
10311-84-9,DIALIFOR,8,4.69,-6.34,-5.441,-0.899,0.18,68.0,393.85,Pesticides
13067-93-1,CYANOFENPHOS,8,4.29,-5.704,-5.273,-0.431,0.6,83.0,303.32,Pesticides
13071-79-9,TERBUFOS,8,3.68,-4.755,-3.784,-0.971,5.07,29.2,288.43,Pesticides
13360-45-7,CHLORBROMURON,8,3.21,-3.924,-3.973,0.049,35.0,97.0,293.55,Pesticides
14816-18-3,PHOXIM,8,4.39,-4.63,-4.82,0.19,7.0,Liq,298.3,Pesticides
15457-05-3,FLUORODIFEN,8,3.65,-5.215,-4.944,-0.271,2.0,90.0,328.21,Pesticides
15545-48-9,CHLORTOLURON,8,2.41,-3.483,-3.415,-0.067,70.0,147.5,212.68,Pesticides
15972-60-8,ALACHLOR,8,3.52,-3.051,-3.671,0.62,240.0,40.0,269.77,Pesticides
16752-77-5,METHOMYL,8,0.6,-0.447,-0.884,0.438,58000.0,78.5,162.21,Pesticides
17109-49-8,EDIFENPHOS,8,3.48,-3.331,-3.622,0.292,145.0,Liq,310.38,Pesticides
17804-35-2,BENOMYL,8,2.42,-4.883,-5.072,0.189,3.8,300.0,290.32,Pesticides
18181-70-9,IODOFENPHOS,8,5.51,-6.616,-6.362,-0.254,0.1,76.0,413.0,Pesticides
19666-30-9,OXADIAZON,8,4.55,-5.693,-5.338,-0.355,0.7,88.0,345.23,Pesticides
19937-59-8,METOXURON,8,1.5,-2.581,-2.394,-0.187,600.0,126.0,228.68,Pesticides
21087-64-9,METRIBUZIN,8,1.7,-2.245,-2.541,0.296,1220.0,126.0,214.29,Pesticides
21609-90-5,LEPTOPHOS,8,6.31,-7.138,-7.076,-0.062,0.03,70.4,412.08,Pesticides
21725-46-2,CYANAZINE,8,2.22,-3.151,-3.5,0.349,170.0,167.0,240.7,Pesticides
22224-92-6,FENAMIPHOS,8,3.23,-2.965,-3.583,0.618,329.0,49.2,303.36,Pesticides
23135-22-0,OXAMYL,8,-0.48,0.106,-0.234,0.34,280000.0,101.0,219.26,Pesticides
23505-41-1,PIRIMIPHOS ETHYL,8,4.8,-4.924,-4.962,0.037,3.97,Liq,333.39,Pesticides
24017-47-8,TRIAZOPHOS,8,3.55,-4.102,-3.696,-0.406,24.7,Liq,312.33,Pesticides
24151-93-7,PIPEROPHOS,8,4.04,-4.15,-4.295,0.145,25.0,Liq,353.49,Pesticides
25057-89-0,BENTAZONE,8,2.34,-2.682,-3.347,0.666,500.0,138.0,240.28,Pesticides
25311-71-1,ISOFENPHOS,8,4.12,-4.194,-4.347,0.153,22.1,Liq,345.4,Pesticides
26087-47-8,IBP (IPROFENFOS),8,3.34,-2.858,-3.419,0.561,400.0,Liq,288.35,Pesticides
27355-22-2,TETRACHLOROPHTHALIDE,8,3.08,-5.037,-4.81,-0.226,2.5,209.0,271.92,Pesticides
28249-77-6,THIOBENCARB,8,3.4,-3.964,-3.38,-0.584,28.0,Liq,257.78,Pesticides
29232-93-7,PIRIMIPHOS-METHYL,8,4.2,-4.133,-4.298,0.165,22.5,Liq,305.34,Pesticides
30560-19-1,ACEPHATE,8,-0.85,0.65,0.382,0.268,818000.0,85.0,183.17,Pesticides
32809-16-8,PROCYMIDONE,8,3.08,-4.8,-4.444,-0.357,4.5,165.0,284.14,Pesticides
33693-04-8,TERBUMETON,8,3.1,-3.239,-3.896,0.658,130.0,123.5,225.3,Pesticides
34123-59-6,ISOPROTURON,8,2.87,-3.536,-3.938,0.402,60.0,158.5,206.29,Pesticides
35367-38-5,DIFLUBENZURON,8,3.88,-6.015,-5.902,-0.113,0.3,231.0,310.69,Pesticides
39923-25-6,"AZINPHOS-ETHYL, O-ANALOG",8,1.63,-1.993,-2.536,0.544,3350.0,56.5,329.32,Pesticides
41198-08-7,PROFENOFOS,8,4.68,-4.125,-4.973,0.848,28.0,Liq,373.64,Pesticides
42509-80-8,ISAZOFOS,8,3.82,-3.32,-3.959,0.639,150.0,Liq,313.74,Pesticides
42576-02-3,BIFENOX,8,4.34,-5.934,-5.605,-0.33,0.398,85.0,342.14,Pesticides
42874-03-3,OXYFLUOREN,8,4.73,-6.558,-5.948,-0.61,0.1,75.0,361.7,Pesticides
43121-43-3,TRIADIMEFON,8,3.26,-3.614,-3.886,0.272,71.5,82.3,293.76,Pesticides
50512-35-1,IPT (ISOPROTHIOLANE),8,2.88,-3.782,-3.235,-0.547,48.0,52.3,290.4,Pesticides
51338-27-3,DICLOFOP-METHYL,8,4.62,-3.834,-4.951,1.117,50.0,40.0,341.19,Pesticides
51630-58-1,FENVALERATE,8,6.2,-7.243,-7.261,0.018,0.024,60.0,419.91,Pesticides
52315-07-8,CYPERMETHRIN,8,6.32,-8.017,-7.457,-0.56,0.004,70.0,416.31,Pesticides
52645-53-1,PERMETHRIN,8,6.5,-6.99,-6.877,-0.114,0.04,36.0,391.3,Pesticides
55179-31-2,BITERTANOL,8,4.3,-4.829,-5.433,0.603,5.0,127.0,337.42,Pesticides
55219-65-3,TRIADIMENOL,8,2.9,-3.392,-3.838,0.447,120.0,114.0,295.77,Pesticides
57837-19-1,METALAXYL,8,1.65,-1.601,-2.196,0.595,7000.0,71.5,279.34,Pesticides
59669-26-0,THIODICARB,8,1.7,-4.269,-3.367,-0.901,19.1,168.0,354.47,Pesticides
65907-30-4,FURATHIOCARB,8,4.7,-4.583,-5.02,0.437,10.0,Liq,382.48,Pesticides
67747-09-5,PROCHLORAZ,8,4.1,-4.044,-4.564,0.519,34.0,40.0,376.67,Pesticides
70124-77-5,FLUCYTHRINATE,8,6.2,-6.876,-7.038,0.162,0.06,Liq,451.47,Pesticides
74070-46-5,ACLONIFEN,8,4.04,-5.025,-5.041,0.016,2.5,81.5,264.7,Pesticides
74222-97-2,SULFOMETURON,8,1.2,-3.084,-3.195,0.11,300.0,198.0,364.38,Pesticides
74223-64-6,METSULFURON-METHYL,8,0.01,-1.604,-1.738,0.134,9500.0,158.0,381.37,Pesticides
75736-33-3,DICLOBUTRAZOL,8,3.8,-4.562,-5.117,0.555,9.0,148.0,328.2,Pesticides
76738-62-0,PACLOBUTRAZOL,8,3.2,-3.924,-4.594,0.67,35.0,165.5,293.8,Pesticides
83055-99-6,BENSULFURON-METHYL,8,1.8,-3.534,-3.823,0.289,120.0,188.0,410.41,Pesticides
83121-18-0,TEFLUBENZURON,8,4.56,-7.28,-6.698,-0.582,0.02,222.5,381.12,Pesticides
90982-32-4,CHLORIMURON-ETHYL,8,2.5,-4.576,-4.491,-0.086,11.0,186.0,414.83,Pesticides
92-52-4,BIPHENYL,9,3.98,-4.347,-4.026,-0.321,6.94,70.0,154.21,Biphenyls
92-66-0,4-BROMOBIPHENYL,9,4.96,-5.553,-5.412,-0.14,0.653,91.5,233.11,Biphenyls
644-08-6,"4-METHYL-1,1'-BIPHENYL",9,4.63,-4.618,-4.505,-0.113,4.05,49.5,168.24,Biphenyls
2050-67-1,"3,3'-DICHLOROBIPHENYL",9,5.27,-5.798,-5.103,-0.695,0.355,29.0,223.1,Biphenyls
2050-68-2,"4,4'-DICHLOROBIPHENYL",9,4.82,-6.556,-5.775,-0.781,0.062,149.0,223.1,Biphenyls
2051-24-3,DECACHLOROBIPHENYL,9,8.27,-10.827,-11.388,0.561,7.43e-06,305.0,498.66,Biphenyls
2051-60-7,2-CHLOROBIPHENYL,9,4.6,-4.592,-4.38,-0.212,4.83,32.0,188.66,Biphenyls
2051-61-8,3-CHLOROBIPHENYL,9,4.42,-4.716,-4.142,-0.573,3.63,Liq,188.66,Biphenyls
2051-62-9,4-CHLOROBIPHENYL,9,4.4,-5.149,-4.602,-0.547,1.34,77.0,188.66,Biphenyls
2136-99-4,"2,2',3,3',5,5',6,6'-OCTACHLOROBIPHENYL",9,7.73,-9.466,-9.328,-0.138,0.000147,161.0,429.77,Biphenyls
2437-79-8,"2,2',4,4'-TETRACHLOROBIPHENYL",9,6.29,-6.732,-6.418,-0.314,0.0541,42.0,291.99,Biphenyls
2974-92-7,"3,4-DICHLOROBIPHENYL",9,5.29,-6.39,-5.311,-1.079,0.0909,49.5,223.1,Biphenyls
7012-37-5,"2,4,4'-PCB",9,5.62,-5.979,-5.805,-0.174,0.27,57.0,257.55,Biphenyls
13029-08-8,"2,2'-DICHLOROBIPHENYL",9,4.97,-5.081,-5.11,0.028,1.85,61.0,223.1,Biphenyls
15862-07-4,"2,4,5-PCB",9,5.81,-6.199,-6.172,-0.027,0.163,77.0,257.55,Biphenyls
15968-05-5,"2,2',6,6'-PCB",9,5.94,-7.39,-7.518,0.128,0.0119,198.0,291.99,Biphenyls
16605-91-7,"2,3-DICHLOROBIPHENYL",9,5.02,-5.35,-4.827,-0.523,0.997,Liq,223.1,Biphenyls
16606-02-3,"2,4',5-TRICHLOROBIPHENYL",9,5.69,-6.256,-5.964,-0.291,0.143,67.0,257.55,Biphenyls
18259-05-7,"2,3,4,5,6-PCB",9,6.75,-7.911,-7.713,-0.197,0.00401,123.0,326.44,Biphenyls
25569-80-6,"2,3'-PCB",9,5.02,-5.585,-4.827,-0.759,0.58,Liq,223.1,Biphenyls
31508-00-6,"2',3,4,4',5'-PCB",9,7.12,-7.387,-7.94,0.553,0.0134,109.0,326.44,Biphenyls
32598-10-0,"2,3',4,4'-TETRACHLOROBIPHENYL",9,5.45,-6.9,-6.403,-0.496,0.0368,128.0,291.99,Biphenyls
32598-11-1,"2,3',4',5-PCB",9,6.23,-6.853,-6.931,0.079,0.041,104.0,291.99,Biphenyls
32598-13-3,"3,3',4,4'-PCB",9,6.63,-8.71,-8.042,-0.668,0.000569,183.0,291.99,Biphenyls
32690-93-0,"2,4,4',5-PCB",9,6.67,-7.77,-7.538,-0.232,0.00496,124.0,291.99,Biphenyls
33025-41-1,"2,3,4,4'-PCB",9,5.84,-6.875,-6.906,0.031,0.0389,142.0,291.99,Biphenyls
33146-45-1,"2,6-DICHLOROBIPHENYL",9,4.98,-4.966,-4.88,-0.086,2.41,35.0,223.1,Biphenyls
33284-50-3,"2,4-DICHLOROBIPHENYL",9,5.16,-5.288,-4.961,-0.327,1.15,Liq,223.1,Biphenyls
33284-53-6,"2,3,4,5-PCB",9,6.41,-7.319,-6.994,-0.326,0.014,92.0,291.99,Biphenyls
33979-03-2,"2,2',4,4',6,6'-PCB",9,7.55,-8.947,-8.493,-0.454,0.000408,112.5,360.88,Biphenyls
34883-39-1,"2,5-DICHLOROBIPHENYL",9,5.1,-5.299,-4.903,-0.396,1.12,Liq,223.1,Biphenyls
34883-43-7,"2,4'-DICHLOROBIPHENYL",9,5.09,-5.28,-5.059,-0.221,1.17,43.0,223.1,Biphenyls
35065-27-1,"2,4,5,2',4',5'-PCB",9,7.75,-8.58,-8.598,0.018,0.00095,103.0,360.88,Biphenyls
35065-28-2,"2,2',3,4,4',5'-HEXACHLOROBIPHENYL",9,7.44,-8.381,-8.093,-0.288,0.0015,80.5,360.88,Biphenyls
35693-92-6,"2,4,6-PCB",9,5.47,-6.009,-5.712,-0.298,0.252,62.5,257.55,Biphenyls
35693-99-3,"2,2',5,5'-PCB",9,6.09,-7.281,-6.64,-0.64,0.0153,87.0,291.99,Biphenyls
35694-06-5,"2,2',3,4,4',5-PCB",9,7.44,-8.52,-8.061,-0.459,0.00109,77.0,360.88,Biphenyls
36355-01-8,HEXABROMOBIPHENYL,9,6.39,-7.756,-7.844,0.088,0.011,72.0,627.62,Biphenyls
37680-65-2,"2,2',5-TRICHLOROBIPHENYL",9,5.55,-5.809,-5.618,-0.19,0.4,44.0,257.55,Biphenyls
37680-66-3,"2,2',4-TRICHLOROBIPHENYL",9,5.76,-6.49,-5.875,-0.615,0.0833,50.0,257.55,Biphenyls
37680-73-2,"2,4,5,2',5'-PCB",9,6.8,-7.326,-7.334,0.007,0.0154,76.5,326.44,Biphenyls
38379-99-6,"2,2',3,5',6-PCB",9,6.55,-7.19,-7.255,0.065,0.0211,94.0,326.44,Biphenyls
38380-01-7,"2,2',4,4',5-PENTACHLOROBIPHENYL",9,7.21,-7.95,-7.943,-0.007,0.00366,100.0,326.44,Biphenyls
38380-02-8,"2,2',3,4,5'-PENTACHLOROBIPHENYL",9,6.37,-7.045,-7.247,0.202,0.0294,112.0,326.44,Biphenyls
38380-03-9,"2,3,3',4',6-PENTACHLOROBIPHENYL",9,6.53,-7.65,-7.291,-0.359,0.00731,100.0,326.44,Biphenyls
38380-07-3,"2,2',3,3',4,4'-PCB",9,7.31,-9.013,-8.608,-0.406,0.00035,150.0,360.88,Biphenyls
38411-22-2,"2,2',3,3',6,6'-HEXACHLOROBIPHENYL",9,6.51,-7.903,-7.508,-0.395,0.00451,114.0,360.88,Biphenyls
38444-73-4,"2,2',6-PCB",9,5.48,-5.9,-5.606,-0.294,0.324,50.0,257.55,Biphenyls
38444-77-8,"2,4',6-TRICHLOROBIPHENYL",9,5.75,-6.209,-5.958,-0.252,0.159,60.0,257.55,Biphenyls
38444-78-9,"2,2',3'-PCB",9,5.31,-5.944,-5.242,-0.702,0.293,28.1,257.55,Biphenyls
38444-81-4,"2,3',5-PCB",9,5.76,-6.008,-5.783,-0.225,0.253,40.0,257.55,Biphenyls
38444-85-8,"2,3,4'-PCB",9,5.42,-6.259,-5.724,-0.535,0.142,69.0,257.55,Biphenyls
38444-86-9,"2',3,4-TRICHLOROBIPHENYL",9,5.57,-6.287,-5.785,-0.502,0.133,60.0,257.55,Biphenyls
38444-90-5,"3,4,4'-TRICHLOROBIPHENYL",9,5.78,-6.554,-6.244,-0.31,0.0719,88.0,257.55,Biphenyls
38444-93-8,"2,2',3,3'-TETRACHLOROBIPHENYL",9,6.18,-7.272,-7.04,-0.233,0.0156,121.0,291.99,Biphenyls
41464-39-5,"2,2',3,5'-TETRACHLOROBIPHENYL",9,5.81,-6.465,-6.004,-0.462,0.1,47.0,291.99,Biphenyls
41464-40-8,"2,2',4,5'-TETRACHLOROBIPHENYL",9,6.22,-6.573,-6.581,0.009,0.0781,67.0,291.99,Biphenyls
41464-51-1,"2,2',3',4,5-PENTACHLOROBIPHENYL",9,6.67,-7.06,-7.25,0.19,0.0284,81.0,326.44,Biphenyls
52663-59-9,"2,2',3,4-TETRACHLOROBIPHENYL",9,6.11,-6.83,-6.779,-0.051,0.0432,100.0,291.99,Biphenyls
52663-60-2,"2,2',3,3',6-PENTACHLOROBIPHENYL",9,6.04,-6.78,-6.82,0.04,0.0542,100.0,326.44,Biphenyls
52663-61-3,"2,2',3,5,5'-PENTACHLOROBIPHENYL",9,6.79,-7.82,-7.632,-0.188,0.00494,110.0,326.44,Biphenyls
52744-13-5,"2,2',3,3',5,6'-HEXACHLOROBIPHENYL",9,7.15,-7.822,-8.086,0.264,0.00544,110.0,360.88,Biphenyls
55215-18-4,"2,2',3,3',4,5-HEXACHLOROBIPHENYL",9,7.32,-8.421,-8.166,-0.254,0.00137,101.0,360.88,Biphenyls
50-32-8,BENZO(A)PYRENE,10,6.35,-8.192,-7.612,-0.581,0.00162,179.0,252.32,PAHs
53-70-3,"DIBENZ(A,H)ANTHRACENE",10,6.5,-8.048,-8.666,0.617,0.00249,269.0,278.36,PAHs
56-49-5,3-METHYLCHOLANTHRENE,10,6.42,-7.966,-7.734,-0.232,0.0029,179.5,268.36,PAHs
56-55-3,BENZ(A)ANTHRACENE,10,5.76,-7.385,-6.795,-0.59,0.0094,160.0,228.3,PAHs
57-97-6,"7,12-DIME-BENZ(A)ANTHRACENE",10,5.8,-6.624,-6.577,-0.047,0.061,122.5,256.35,PAHs
66-71-7,O-PHENANTHROLINE,10,1.78,-1.826,-2.409,0.583,2690.0,115.0,180.21,PAHs
83-32-9,ACENAPHTHENE,10,3.92,-4.597,-4.18,-0.417,3.9,93.0,154.21,PAHs
85-01-8,PHENANTHRENE,10,4.46,-5.19,-4.81,-0.38,1.15,97.0,178.24,PAHs
86-73-7,9H-FLUORENE,10,4.18,-4.944,-4.66,-0.284,1.89,114.0,166.22,PAHs
86-74-8,CARBAZOLE,10,3.72,-4.968,-5.427,0.459,1.8,245.0,167.21,PAHs
92-24-0,TETRACENE,10,5.76,-8.18,-8.46,0.281,0.00151,341.0,228.3,PAHs
120-12-7,ANTHRACENE,10,4.45,-6.614,-5.914,-0.699,0.0434,218.0,178.24,PAHs
129-00-0,PYRENE,10,4.88,-6.176,-5.777,-0.399,0.135,150.0,202.26,PAHs
132-65-0,DIBENZOTHIOPHENE,10,4.38,-5.098,-4.753,-0.346,1.47,97.0,184.26,PAHs
191-24-2,BENZO[GHI]PERYLENE,10,6.9,-9.026,-9.117,0.09,0.00026,277.0,276.34,PAHs
198-55-0,PERYLENE,10,6.25,-8.8,-8.417,-0.382,0.0004,277.0,252.32,PAHs
206-44-0,FLUORANTHENE,10,5.16,-5.891,-5.687,-0.204,0.26,111.0,202.26,PAHs
208-96-8,ACENAPHTHYLENE,10,3.94,-3.976,-4.165,0.19,16.1,90.0,152.2,PAHs
215-58-7,"DIBENZO[A,C]ANTHRACENE",10,7.11,-8.24,-8.662,0.422,0.0016,205.0,278.36,PAHs
217-59-4,TRIPHENYLENE,10,5.49,-6.745,-6.895,0.15,0.0411,199.0,228.3,PAHs
218-01-9,CHRYSENE,10,5.5,-8.057,-7.415,-0.642,0.002,254.5,228.3,PAHs
224-41-9,"DIBENZO[A,J]ANTHRACENE",10,7.11,-8.432,-8.58,0.148,0.00103,196.0,278.36,PAHs
230-46-6,"1,7-PHENANTHROLINE",10,2.51,-2.681,-2.788,0.108,376.0,80.0,180.21,PAHs
238-84-6,11H-BENZO(A)FLUORENE,10,5.4,-6.678,-6.66,-0.018,0.0454,187.0,216.29,PAHs
239-64-5,"13H-DIBENZO(A,I)CARBAZOLE",10,6.4,-7.423,-8.11,0.687,0.0104,220.0,275.4,PAHs
243-17-4,11H-BENZO(B)FLUORENE,10,5.77,-8.034,-7.218,-0.816,0.002,209.0,216.29,PAHs
260-94-6,ACRIDINE,10,3.4,-3.669,-3.879,0.21,38.4,106.0,179.22,PAHs
578-06-3,1-AMINOACRIDINE,10,2.47,-4.224,-3.742,-0.482,11.6,183.0,194.24,PAHs
602-60-8,9-NITROANTHRACENE,10,4.78,-6.292,-6.206,-0.086,0.114,145.0,223.23,PAHs
607-57-8,2-NITROFLUORENE,10,3.37,-5.99,-4.925,-1.066,0.216,157.0,211.22,PAHs
613-12-7,2-METHYLANTHRACENE,10,5.0,-6.956,-6.357,-0.598,0.0213,204.0,192.26,PAHs
613-13-8,2-AMINOANTHRACENE,10,4.13,-5.172,-5.838,0.666,1.3,238.0,193.25,PAHs
779-02-2,9-METHYLANTHRACENE,10,5.07,-5.867,-5.274,-0.593,0.261,79.0,192.26,PAHs
781-43-1,"9,10-DIMETHYLANTHRACENE",10,5.69,-6.566,-6.861,0.295,0.056,182.0,206.29,PAHs
832-69-9,1-METHYLPHENANTHRENE,10,5.08,-5.854,-5.643,-0.211,0.269,118.0,192.26,PAHs
1730-37-6,1-METHYLFLUORENE,10,4.97,-5.218,-5.214,-0.004,1.09,87.0,180.25,PAHs
2531-84-2,2-METHYLPHENANTHRENE,10,4.86,-5.837,-4.88,-0.957,0.28,58.0,192.26,PAHs
2642-98-0,6-AMINOCHRYSENE,10,4.99,-6.196,-6.563,0.367,0.155,210.0,243.31,PAHs
52251-71-5,ETHYLANTHRACENE,10,5.85,-6.886,-5.883,-1.003,0.0268,59.0,206.29,PAHs
71-43-2,BENZENE,11,2.13,-1.64,-1.597,-0.043,1790.0,Liq,78.11,Alkyl Benzenes
87-85-4,HEXAMETHYLBENZENE,11,5.11,-5.839,-6.033,0.194,0.235,167.5,162.28,Alkyl Benzenes
95-47-6,O-XYLENE,11,3.12,-2.776,-2.635,-0.14,178.0,Liq,106.17,Alkyl Benzenes
95-63-6,"1,2,4-TRIMETHYLBENZENE",11,3.78,-3.324,-3.313,-0.011,57.0,Liq,120.2,Alkyl Benzenes
95-93-2,"1,2,4,5-TETRAMETHYLBENZENE",11,4.0,-4.586,-4.074,-0.512,3.48,80.0,134.22,Alkyl Benzenes
98-06-6,T-BUTYLBENZENE,11,4.11,-3.658,-3.674,0.016,29.5,Liq,134.22,Alkyl Benzenes
98-82-8,CUMENE,11,3.66,-3.292,-3.198,-0.095,61.3,Liq,120.2,Alkyl Benzenes
98-83-9,ALPHA-METHYLSTYRENE,11,3.36,-3.008,-2.903,-0.105,116.0,Liq,118.18,Alkyl Benzenes
99-87-6,P-CYMENE,11,4.1,-3.759,-3.664,-0.094,23.4,Liq,134.22,Alkyl Benzenes
100-41-4,ETHYLBENZENE,11,3.15,-2.798,-2.664,-0.134,169.0,Liq,106.17,Alkyl Benzenes
100-42-5,STYRENE,11,2.95,-2.526,-2.466,-0.06,310.0,Liq,104.15,Alkyl Benzenes
101-81-5,"BENZENE, 1,1'-METHYLENEBIS-",11,4.14,-4.077,-3.818,-0.259,14.1,25.9,168.24,Alkyl Benzenes
103-29-7,BIBENZYL,11,4.79,-4.627,-4.726,0.099,4.3,52.0,182.27,Alkyl Benzenes
103-30-0,STILBENE,11,4.81,-5.793,-5.401,-0.392,0.29,124.0,180.25,Alkyl Benzenes
103-65-1,N-PROPYLBENZENE,11,3.57,-3.362,-3.111,-0.251,52.2,Liq,120.2,Alkyl Benzenes
104-51-8,N-BUTYLBENZENE,11,4.38,-4.056,-3.933,-0.123,11.8,Liq,134.22,Alkyl Benzenes
105-05-5,P-DIETHYLBENZENE,11,4.58,-3.733,-4.125,0.392,24.8,Liq,134.22,Alkyl Benzenes
106-42-3,P-XYLENE,11,3.15,-2.816,-2.664,-0.152,162.0,Liq,106.17,Alkyl Benzenes
108-38-3,M-XYLENE,11,3.2,-2.819,-2.712,-0.107,161.0,Liq,106.17,Alkyl Benzenes
108-67-8,"1,3,5-TRIMETHYLBENZENE",11,3.42,-3.397,-2.967,-0.429,48.2,Liq,120.2,Alkyl Benzenes
108-88-3,TOLUENE,11,2.73,-2.243,-2.217,-0.027,526.0,Liq,92.14,Alkyl Benzenes
135-01-3,O-DIETHYLBENZENE,11,4.42,-3.276,-3.971,0.696,71.1,Liq,134.22,Alkyl Benzenes
135-98-8,SEC-BUTYLBENZENE,11,4.57,-3.882,-4.115,0.233,17.6,Liq,134.22,Alkyl Benzenes
141-93-5,M-DIETHYLBENZENE,11,4.57,-3.748,-4.115,0.368,24.0,Liq,134.22,Alkyl Benzenes
526-73-8,"1,2,3-TRIMETHYLBENZENE",11,3.66,-3.204,-3.198,-0.006,75.2,Liq,120.2,Alkyl Benzenes
536-74-3,ETHYNYL BENZENE,11,2.53,-2.35,-2.056,-0.294,456.0,Liq,102.14,Alkyl Benzenes
538-68-1,PENTYLBENZENE,11,4.9,-4.643,-4.476,-0.167,3.37,Liq,148.25,Alkyl Benzenes
538-93-2,ISOBUTYLBENZENE,11,4.68,-4.123,-4.221,0.098,10.1,Liq,134.22,Alkyl Benzenes
611-14-3,1-ETHYL-2-METHYLBENZENE,11,3.53,-3.207,-3.073,-0.134,74.6,Liq,120.2,Alkyl Benzenes
613-33-2,P-TOLYLTOLUENE,11,5.09,-6.018,-5.686,-0.332,0.175,125.0,182.27,Alkyl Benzenes
622-96-8,P-ETHYLTOLUENE,11,3.63,-3.103,-3.169,0.066,94.9,Liq,120.2,Alkyl Benzenes
700-12-9,PENTAMETHYLBENZENE,11,4.56,-3.981,-4.387,0.407,15.5,50.8,148.25,Alkyl Benzenes
1077-16-3,N-HEXYLBENZENE,11,5.52,-5.255,-5.116,-0.139,0.902,Liq,162.28,Alkyl Benzenes
2189-60-8,OCTYLBENZENE,11,6.3,-6.46,-5.952,-0.508,0.066,Liq,190.33,Alkyl Benzenes
82-68-8,PENTACHLORONITROBENZENE,12,4.64,-5.817,-6.288,0.471,0.45,144.0,295.34,Halobenzenes
87-40-1,"2,4,6-TRICHLOROANISOLE",12,4.11,-4.325,-4.238,-0.087,10.0,60.0,211.48,Halobenzenes
87-61-6,"1,2,3-TRICHLOROBENZENE",12,4.05,-4.003,-4.018,0.015,18.0,52.6,181.45,Halobenzenes
