aaa	GHOTUO
emp	EMBERA_NORTHERN
emw	EMPLAWAS
ena	EMERUM
enb	ENDO
end	ENDE
enf	FOREST_ENETS
eng	ENGLISH
enl	SANAPANA_ENLHET
enn	ENGENNI
eno	ENGGANO
enq	ENGA
enr	EMUMU
enu	ENU
enw	ENWANG
enx	LENGUA
eot	EOTILE_BETI
epi	EPIE
epo	ESPERANTO
erg	SIE
erh	ERUWA
eri	ERIMA
ero	GESHITSA
err	ERRE
ers	ERSU
ert	ERITAI
erw	KAMBRAM
ese	ESE_EJJA
esi	INUPIAQ
esk	NORTHWEST_ALASKA_INUPIATUN
esq	ESSELEN
ess	CENTRAL_SIBERIAN_YUPIK
esu	C_YUPIK
esy	ESKAYAN
etb	ETEBI
etn	ETON_VANUATU
eto	ETON_CAMEROON
etr	EDOLO
ets	YEKHEE
ett	ETRUSCAN
etu	EJAGHAM
etx	ITEN
eus	BASQUE
eve	EVEN
evh	UVBIE
evn	EVENKI
ewe	EWE
ewo	EWONDO
eya	EYAK
eyo	KEIYO
eze	UZEKWE
faa	FASU
fab	FA_D_AMBU
fad	KAMBA
faf	FAGANI
fai	ANGIYAKMIN_FAIWOL
faj	FAITA
fak	FANG
fam	FAM
fan	FANG
fao	FAROESE
fap	PALOR
far	FATALEKA
fau	FAYU
fax	FALA
fay	SOUTHWESTERN_FARS
fbl	OAS
fer	FEROGE
ffm	FULFULDE_MAASINA
fgr	FONGORO
fia	NOBIIN
fie	FYER
fij	FIJIAN
fin	FINNISH
fip	FIPA
fir	FIRAN
fkk	KIRYA_KONZEL
fla	KALISPEL_PEND_DOREILLE
flh	FOAU
fli	FALI
fll	NORTH_FALI
flr	FULIRU
fnb	ORKON
fng	FANAGALO
for	FORE
fos	SIRAYA
fpe	PICHI
fqs	FAS
fra	FRENCH
frd	FORDATA
frp	ARPITAN
frq	FORAK
frr	NORTH_FRISIAN_AMRUM
frs	EASTERN_FRISIAN
frt	FORTSENAL
fry	FRISIAN_WESTERN
fub	FULFULDE_ADAMAWA
fud	EAST_FUTUNA
fue	BORGU_FULFULDE
fuf	PULAR
fui	BAGIRMI_FULFULDE
fun	FULNIO
fuq	CENTRAL_EASTERN_NIGER_FULFULDE
fur	FRIULIAN
fuu	FURU
fuy	FUYUG
fvr	FUR
fwe	FWE
gaa	GA
gab	GABRI
gac	GREAT_ANDAMANESE
gae	WAREKENA
gaf	GENDE
gag	GAGAUZ
gah	ALEKANO
gai	GAMEI
gaj	GADSUP
gam	KANDAWO
gao	GANTS
gap	GAL
gaq	GATA
gas	ADIWASI_GARASIA
gau	MADHILI_GADABA
gaw	GARUH
gax	BORANA_OROMO
gay	GAYO
gbb	KAYTETYE
gbd	KARADJERI
gbf	GAIKUNDI
gbg	GBANZIRI
gbi	GALELA
gbj	BODO_GADABA
gbn	MODA
gbp	GBAYA_BOSSANGOA
gbq	GBAYA_BOZOUM
gbr	GBAGYI
gbu	GAAGUDJU
gbv	GBANU
gby	GBARI
gcc	MALI
gcd	GANGGALIDA
gce	GALICE
gcf	GUADELOUPE_CREOLE
gcl	GRENADIAN_CREOLE_ENGLISH
gcn	GAINA
gcr	GUIANESE_CREOLE_FRENCH
gdb	OLLARI_GADBA
gdc	GUGU_BUJUN
gdd	GEDAGED
gde	GUDE
gdf	GAVA
gdg	GADDANG
gdi	GUNDI
gdl	GIDOLE
gdm	LAAL
gdo	GODOBERI
gdq	MEHRI
gdu	GUDU
gea	GERUMA
geb	KIRE
ged	GADE
geg	GENGLE
geh	HUTTERITE_GERMAN
gei	GEBE
gej	GEN
gek	YIWOM
geq	GEME
gev	VIYA
gew	GERA
gex	GARRE
gey	ENYA
gez	GEEZ
gfk	PATPATAR
gft	GAFAT
gge	GURAGONE
ggk	KUNKARAKANY
ggl	GANGLAU
ggt	GITUA
ggu	GAGU
ggw	GOGODALA
gha	GHADAMES
ghl	UNCUNWEE
gho	GHOMARA
ghs	GUHU_SAMANE
gia	KITJA
gib	GIBANAWA
gid	GIDAR
gih	GIDABAL
gil	KIRIBATI
gim	GIMI
gin	HINUKH
giq	GREEN_GELAO
gis	NORTHERN_GIZIGA
git	GITXSAN
giu	MULAO
gix	NGBAKA_GILIMA
giz	MUTURUA
gjm	WARRNAMBOOL
gjn	GONJA
gkd	MAGI
gke	GALKE
gkn	GOKANA
gkp	KPELLE_GUINEA
gku	VAAL_ORANGE
gla	GAELIC_SCOTTISH
glc	BON_GULA
gld	NANAI
gle	IRISH
glg	GALICIAN
glj	GULA_IRO
glk	GILAKI
glo	GALAMBU
glu	GULA_CAR
glv	MANX
glw	GLAVDA
gly	GULE
gmb	KWAI
gmd	MAGHDI
gmm	GBAYA_MBODOMO
gmu	GUMALU
gmv	GAMO
gna	KAASA
gnd	ZULGO
gne	GANANG
gng	NGANGAM
gni	GOONIYANDI
gnk	GXANA
gnl	GANGULU
gnn	GOMAIDJ
gno	NORTHERN_GONDI
gnr	GURENG_GURENG
gnt	WARTA_THUNTAI
goa	GURO
gob	PLAYERO
goc	TOWANGARA
god	GODIE
goe	GONGDUK
gof	GOFA
gog	GOGO
goh	OLD_HIGH_GERMAN
gol	GOLA
gom	GOAN_KONKANI
gop	YERETUAR
gor	GORONTALO
gos	GRONINGS
got	GOTHIC
gou	GAVAR
gox	GOBU
goy	GOUNDO
gpa	GUPA_ABAWA
gpe	GHANAIAN_PIDGIN_ENGLISH
gpn	TAIAP
gqa	GAANDA
gqi	GUIQIONG
gqn	KINIKINAU
gqr	GOR
grc	GREEK_ANCIENT
grd	GURUNTUM_MBAARU
grg	MADI
grh	KAHUGU
gri	GHARI
grj	SOUTHERN_GREBO
grq	GOROVU
grr	TAZNATIT
grs	GRESI
grt	GARO
gru	SODDO
grx	GURIASO
gsl	JOOLA_GUSILAY
gsn	GUSAN
gsp	WASEMBO
gta	GUATO
gua	GUBAWA
gub	GUAJAJARA
guc	WAYUU
gud	DIDA_YOCOBOUE
gue	GURINDJI
gug	GUARANI
guh	GUAHIBO
gui	CHIRIGUANO
guj	GUJARATI
guk	GUMUZ
gum	GUAMBIANO
gun	MBYA
guo	GUAYABERO
guq	ACHE
gut	MELEKU_JAIKA
guu	YANOMAME
guw	GUNGBE
gux	GOURMANCHEMA
guz	GUSII
gva	KASHIKA
gvc	GUANANO
gve	DUWET
gvf	GOLIN
gvj	GUAJA
gvl	GULAY
gvm	GURMANA
gvn	KOKO_YALANDJI
gvo	GAVIAO_DO_RONDONIA
gvr	GURUNG
gvs	GUMAWANA
gwa	MBATO
gwc	KALAMI
gwd	GAWWADA
gwe	GWENO
gwg	MOO
gwi	KUTCHIN
gwj	GWI
gwr	GWERE
gwt	GAWAR_BATI
gwu	GUWAMU
gww	GUNIN_KWINI
gwx	HILL_GUANG
gxx	WE_SOUTHERN
gyb	GARUS
gyd	KAYARDILD
gye	GYEM
gyg	GBAYI
gyi	GYELE
gyl	GAYIL
gyn	GUYANESE_CREOLE_ENGLISH
gyr	GUARAYU
gyy	GUNYA
gza	GANZA
gzi	GAZI
gzn	GIMAN
haa	HAN
hac	GURANI
had	HATAM
hae	EASTERN_OROMO
hag	HANGA
ham	HEWA
han	HANGAZA
hao	HAKU
haq	HA
har	HARARI
has	HAISLA
hat	HAITIAN_CREOLE
hau	HAUSA
haw	HAWAIIAN
hax	HAIDA
hay	HAYA
hbb	HUBA
hbo	BIBLICAL_HEBREW
hbu	HABU
hca	ANDAMAN_CREOLE_HINDI
hch	HUICHOL
hdy	HADIYYA
heb	HEBREW
hed	HERDE
heg	HELONG
heh	HEHE
hei	HEILTSUK
her	HERERO
hgw	HAIGWAI
hhr	KERAK
hia	LAMANG_HITKALANCHI
hid	HIDATSA
hih	PAMOSU
hii	HINDURI
hil	HILIGAYNON
hin	HINDI
hio	MASARWA_TATI
hit	HITTITE
hiw	HIW
hix	HIXKARYANA
hka	KAHE
hke	HUNDE
hkk	HUNJARA_KAINA_KE
hla	HALIA
hlb	HALABI
hmb	TONDI_SONGWAY_KIINI
hmo	MOTU_HIRI
hmr	HMAR
hmt	HAMTAI
hmu	HAMAP
hna	MINA
hnh	ANI
hni	DAZHAI_HANI
hnj	HMONG_NJUA
hnn	HANUNOO
hoa	HOAVA
hob	MARI
hoc	HO
hod	HOLMA
hoe	HOROM
hoh	HOBYOT
hoi	HOLIKACHUK
hoj	HADOTI
hol	HOLU
hoo	HOLOHOLO
hop	HOPI
hor	HORO
hot	HOTE
hoz	HOZO
hpo	HPON
hra	HRANGKHOL
hrc	TANGA
hrk	HARUKU
hrt	HERTEVIN
hru	HRUSO
hrv	CROATIAN
hsb	UPPER_SORBIAN
hss	HARSUSI
hto	HUITOTO_MINICA
hts	HADZA
htu	HITU
hub	HUAMBISA
huc	HOAN_HUC
hue	SAN_FRANCISCO_DEL_MAR_HUAVE
hug	HUACHIPAERI
hul	HULA
hum	HUNGANA
hun	HUNGARIAN
hup	HUPA
huq	TSAT
hus	HUASTEC
hut	HUMLA
huu	HUITOTO_MURUI
huv	HUAVE
huw	HUKUMINA
hux	HUITOTO_NUPODE
huy	HULAULA
huz	HUNZIB
hvn	SAVU
hwc	HAWAI_CREOLE_ENGLISH
hwo	HWANA
hya	HYA
hye	ARMENIAN
hyw	WESTERN_ARMENIAN
iai	IAAI
ian	IATMUL
iar	PURARI
iba	IBAN
ibb	IBIBIO
ibd	IWAIDJA
ibe	AKUNNU
ibg	IBANAG
ibl	IBALOI
ibm	AGOI
ibn	IBINO
ibo	IGBO
ibr	IBUORO
iby	IBANI
ich	ETKYWAN
ida	IDAKHO_ISUKHA_TIRIKI
idi	DIBOLUG
idr	INDRI
idu	IDOMA
ifa	IFUGAO_AMGANAD
ifb	IFUGAO_BATAD
ife	IFE
igb	EBIRA
ige	IGEDE
igl	IGALA
igm	KANGGAPE
ign	IGNACIANO
igo	ISEBE
ihi	IHIEE
ihp	IHA
ijc	IZON
ije	BISENI
ijn	KALABARI
ike	INUKTITUT_EASTERN_CANADIAN
iki	IKO
ikk	IKA
ikl	KULU
iko	OLULUMO_IKOM
ikp	IKPESHI
ikt	KANGIRYUARMIUTUN
ikv	IKU_GORA_ANKWA
ikw	IKWERE
ikx	IK
ikz	IKIZU
ilb	ILA
ili	ILI_TURKI
ilk	ILONGOT_KAKIDUGEN
ilm	IRANUN
ilo	ILOKANO
ilv	ILUE
imn	IMONDA
imo	IMBONGU
imr	IMROING
inb	INGA
ind	INDONESIAN
inh	INGUSH
inj	INGA_MEDIO_PUTUMAYO
ino	YATE
inp	INAPARI
inz	INESENYO
ior	INNEMOR
iou	IRUMU
iow	IOWA_OTO
ipi	IPILI
ipo	IPIKO
iqu	IQUITO
ire	IRESIM
irh	IRARUTU
iri	KWOLL
irk	IRAQW
irn	IRANTXE
iru	IRULA
irx	KAMBERAU
isa	ISABI
isc	ISCONAHUA
isd	ISNAG
ish	ESAN
isl	ICELANDIC
isn	ISANZU
iso	ISOKO
ist	ISTRIOT
isu	ISU
ita	ITALIAN
itb	ITNEG_BINONGAN
itd	TIDONG
ite	MORE
itl	ITELMEN
itm	ITUMBUSO
ito	ITONAMA
itr	ITERI
its	ISEKIRI
itv	ITAWIT
itz	ITZAJ
ivb	BABUYAN
iwm	IWAM
iwo	MOROP
iws	SEPIK_IWAM
ixc	IXCATEC
ixl	IXIL_CHAJUL
iyx	IYAA
izh	INGRIAN
izr	IZERE
izz	IZI
jaa	JAMAMADI
jab	HYAM
jae	YABEM
jaf	JARA
jah	JAH_HUT
jaj	ZAZAO
jao	YANYUWA
jau	YAUR
jax	JAMBI_MALAY
jay	YANANGO
jaz	JAWE
jbi	BADJIRRI
jbk	BARIKEWA
jbn	NAFUSI
jbr	JOFOTEK
jbt	JABUTI
jbu	JUKUN_TAKUM
jda	JAD_INDIA
jdt	JUDEO_TAT
jeb	JEBERO
jee	JERUNG
jeh	JEH
jek	JERI_KUO
jel	YELMEK
jen	JENJO
jer	JERE
jet	MANEM
jgo	NGOMBA
jhi	JAHAI
jia	JINA
jib	JIBU
jic	JICAQUE
jid	BU_NIGERIA
jig	DJINGILI
jih	STODSDE
jii	JIDDU
jil	JILIM
jim	JIMI_CAMEROON
jio	JIAMAO
jit	JITA
jiu	JINO
jiv	SHUAR
jjr	BANKALA
jka	KAERA
jko	KUBO
jkr	KORO_INDIA
jku	LABIR
jle	NGILE
jma	DIMA
jmb	ZUMBUN
jmc	MACHAME
jmd	YAMDENA
jmi	JIMI
jmn	MAKURI_NAGA
jmr	KAMARA
jms	MASHI_NIGERIA
jmw	OMATI
jmx	SAN_MARTIN_PERAS_MIXTEC
jng	YANGMAN
jni	JANJI
jnj	JANJERO
jns	JAUNSARI
job	VIRA
jow	JOWULU
jpn	JAPANESE
jqr	JAQARU
jra	JARAI
jru	JAPRERIA
juc	JURCHEN
juh	HONE
juk	WAPAN
jul	JIREL
jum	JUMJUM
jun	JUANG
juo	JIBA
jup	JUPDA
jur	JURUNA
juu	SHO
juw	WAPHA
juy	JURAY
jya	JIARONG
jye	JUDEO_YEMENI_ARABIC
kaa	KARAKALPAK
kab	KABYLE
kac	JINGPHO
kad	KADARA
kae	KETANGALAN
kaf	KATSO
kah	KARA
kai	KAREKARE
kaj	JJU
kak	KALLAHAN_KAYAPA_PROPER
kal	KALAALLISUT
kam	KAMBA_KENYA
kan	KANNADA
kao	XAASONGAXANGO
kap	BEZHTA
kaq	CAPANAHUA
kas	KASHMIRI
kat	GEORGIAN
kav	KATUKINA
kaw	OLD_JAVANESE
kay	KAMAYURA
kaz	KAZAKH
kbb	KAXUYANA
kbc	KADIWEU
kbd	KABARDIAN
kbe	KANJU
kbh	KAMSA
kbi	KAPTIAU
kbj	KARI
kbk	KOIARI
kbl	KANEMBU
kbm	KAIWA
kbn	KALI
kbo	KELIKO
kbp	KABIYE
kbq	KAMANO
kbr	KEFA
kbs	KANDE
kbt	GABADI
kbu	KABUTRA
kbv	DERA
kbw	KAIEP
kbx	AP_MA
kby	MANGA_KANURI
kbz	DUHWA
kca	KHANTY
kcb	KAWACHA
kcc	LUBILA
kcd	KANUM_NGKALMPW
kcf	UKAAN
kcg	TYAP
kci	KAMANTON
kcj	KOBIANA
kck	KALANGA
kcl	KELA
kcn	KIBERA_KENYA
kco	KINALAKNA
kcp	KANGA
kcr	KATLA
kcs	KOENOEM
kct	KAIAN
kcu	KAMI
kcv	KETE
kcx	KACHAMA
kcy	KORANDJE
kda	WORIMI
kdc	KUTU
kdd	PITJANTJATJARA_YANKUNTJATJARA
kde	MAKONDE
kdh	TEM
kdi	KUMAN_UGANDA
kdj	KARIMOJONG
kdm	KAGOMA
kdn	KUNDA
kdp	NINKYOP
kdq	WANANG
kdr	KARAIM
kdt	KUY
kdu	KADARU
kdw	KONERAWSCH
kdx	KAM
kdy	KEDER
kea	CAPE_VERDEAN_CREOLE
keb	WESTERN_KELE_BUBI
kec	KEIGA
ked	KEREWE
keg	TESE
kei	KEI
kek	KEKCHI
kem	KEMAK
ken	KENYANG
keo	KAKWA
ker	KERA
ket	KET
keu	AKEBU
kew	KEWA
kez	KUKELE
kfa	KODAVA
kfb	NORTHWESTERN_KOLAMI
kfd	KORAGA_KORRA
kfe	KOTA_INDIA
kff	KOYA
kfk	KINNAURI
kfm	MEYMAI
kfn	KUK
kfo	KOROKAN
kfp	KORWA
kfq	KORKU
kfy	KUMAUNI
kfz	KOROMFE
kgb	KAWE
kge	KOMERING
kgf	HUBE
kgg	KUSUNDA
kgj	KHAM
kgk	GUARANI_KAIWA
kgl	KUNGGARI
kgn	KARINGANI
kgo	KRONGO
kgp	KAINGANG
kgq	KAMORO
kgr	ABUN
kgs	GUMBAYNGGIR
kgt	SOMYEV
kgu	KOGUMAN
kgv	KARAS
kgw	KARON_DORI
kgx	KAMARU
kgy	KYIRONG
kha	KHASI
khb	LU
khc	TUKANG_BESI_NORTHERN
khd	TOMER
khe	KOROWAI
khg	RGYALTHANG
khh	KEHU
khl	LUSI
khm	KHMER
khp	KAPAURI
khq	SONGHAY_KOYRA_CHIINI
khr	KHARIA
khs	KASUA
kht	KHAMTI
khu	NKHUMBI
khz	KEAPARA
kia	KIM
kib	RERE
kic	KICKAPOO
kid	KOSHIN
kie	KIBET
kih	KILMERI
kii	KITSAI
kij	KILIVILA
kik	GIKUYU
kil	KARIYA
kim	TOFA
kin	KINYARWANDA
kio	KIOWA
kiq	KOSARE
kir	KYRGYZ
kis	KIS
kiu	KIRMANJKI
kiv	KIMBU
kiy	KIRIKIRI
kja	MLAP
kjb	QANJOBAL_SANTA_EULALIA
kjc	COASTAL_KONJO
kjd	KIWAI_SOUTHERN
kje	KISAR
kjg	KHMU
kjh	KHAKAS
kji	ZABANA
kjj	KHINALUG
kjm	KHANG
kjn	KUNJEN
kjp	KAREN_PWO_EASTERN
kjq	ACOMA_KERES
kjr	KURUDU
kjs	KEWA_EAST
kju	KASHAYA
kjz	BUMTHANGKHA
kka	KAKANDA
kkb	KWERISA
kkc	ODOODEE
kke	KAKABE
kkh	TAI_KHUEN
kki	KAGULU
kkj	KAKO
kkk	KOKOTA
kkl	YALE_KOSAREK
kkm	KIONG
kko	KARKO
kkr	KIR_BALAR
kks	KIRFI
kkt	KOI
kky	GUUGU_YIMIDHIR
kkz	KASKA
kla	KLAMATH
klb	KILIWA
klc	KOLBILA
kld	GAMILARAAY
kle	KULUNG
kli	TARINDING
klj	KHALAJ_IRAN
kll	KALAGAN_KAAGAN
klm	KOLOM
klp	KAMASA
klq	RUMU
klr	KHALING
klt	NUKNA
klu	KLAO
klv	MASKELYNES
klx	KOLUWAWA
klz	KABOLA
kma	KONNI
kmb	MBUNDU
kmc	SOUTHERN_DONG
kme	BAKOLE
kmf	KARE
kmg	KATE
kmh	KALAM
kmi	KAMI_NIGERIA
kmj	KUMARBHAG_PAHARIA
kmk	LIMOS_KALINGA
kml	MINANGALI_LOWER_TANUDAN_KALINGA
kmm	KOM_INDIA
kmn	AWTUW
kmo	KWOMA
kmr	NORTHERN_KURDISH
kms	KAMASAU
kmt	KEMTUIK
kmu	KANITE
kmv	KARIPUNA_CREOLE
kmw	KOMO
kmx	WABUDA
kna	DERA
knb	KALINGA_GUINAANG
knc	KANURI
kne	KANKANAEY
knf	MANKANYA
kng	KOONGO
kni	ANIB
knj	ACATECO_SAN_MIGUEL_ACATAN
knk	KURANKO
knm	KANAMARI
knn	KONKANI
kno	KONO
knq	KINTAQ
knr	KANINGRA
kns	KENSIW
knv	TABO_WAIA
knw	KUNG_EKOKA
knx	SALAKO_BADAMEA
kny	KANYOK
koa	KONOMALA
kod	GAURA_NGGAURA
kof	KUBI
kog	KOGUI
koh	KOYO_EHAMBE_MAKUA
koi	KOMI_PERMYAK
kol	KOL_PNG
koo	KONZO
kop	KWATO
koq	KOTA
kor	KOREAN
kos	KUSAIE
kot	LAGWAN
kou	KOKE
kov	KUDU_CAMO
kow	KUGAMA
koy	KOYUKON
koz	KORAK
kpc	CURRIPACO
kpf	KOMBA
kpg	KAPINGAMARANGI
kpi	KOFEI
kpj	KARAJA
kpk	KPAN
kpl	NGBAKA_KPALA
kpo	IKPOSO
kpq	KORUPUN_SELA
kpr	KORAFE_YEGHA
kps	TEHIT
kpt	KARATA
kpu	KAFOA
kpv	KOMI_ZYRIAN
kpw	KOBON
kpx	MOUNTAIN_KOIALI
kpy	KORYAK
kpz	KUPSAPIINY
kqa	KATIATI
kqb	KOVAI
kqc	DOROMU_KOKI
kqd	KOY_SANJAQ_SURAT
kqe	KALAGAN
kqg	KHE
kqi	KOITABU
kqk	KOTAFON_GBE
kql	KYENELE
kqm	KHISA
kqn	KAONDE
kqo	EASTERN_KRAHN
kqq	KRENAK
kqr	KIMARAGANG
kqs	KISSI
kqw	KANDAS
kqx	MSER
kqy	KOORETE
kqz	KORANA
krb	KARKIN
krc	KARACHAY_BALKAR
kre	PANARA
krf	KORO
krh	KURAMA
kri	KRIO
krj	KINARAY_A
krl	KARELIAN
krp	KOROP
krr	BRAO_KRUNG
krs	GBAYA
kru	KURUKH
krx	KARON
kry	KRYZ
krz	SOTA
ksb	SHAMBALA
ksc	SOUTHERN_KALINGA
ksd	TOLAI
kse	KUNI
ksf	BAFIA
ksg	KUSAGHE
ksh	RIPUARIAN_GERMAN
ksi	ISAKA
ksj	UARE
ksk	KANSA
ksl	KUMARU
ksm	KUMBA
ksp	KABBA
ksq	KWAAMI
ksr	BORONG
kss	SOUTHERN_KISI
kst	KO_WINYE
ksu	KHAMYANG
ksv	KUSU
ksw	KAREN_SGAW
ksx	KEDANG
ksy	KHARIA_THAR
ktb	KAMBAATA
ktc	WIDALA
ktd	KOKATA
ktg	KALKUTUNG
kti	NINATIE_MUYU
ktk	KANIET
ktn	KARITIANA
kto	KUOT
ktp	KADUO
ktt	KETUM
ktv	KATU_EASTERN
ktw	KATO
ktx	KAXARARI
kua	KWANYAMA
kub	KUTEP
kuc	KWINSU
kue	KUMAN
kug	KUPA
kuh	KUSHI
kui	KUIKURO
kuj	KURIA
kul	KULERE
kum	KUMYK
kun	KUNAMA
kuo	KUMUKIO
kup	KUNIMAIPA
kus	KUSAL
kut	KUTENAI
kuu	UPPER_KUSKOKWIM
kuw	KPAGUA
kuy	KUUKU_YAU
kuz	KUNZA
kva	BAGWALAL
kvb	KUBU
kvc	KOVE
kvd	KUI_INDONESIA
kvf	KABALAY
kvg	KUNI_BOAZI
kvi	MODGEL
kvj	PSIKYE
kvm	KENDEM
kvn	CUNA
kvo	DOBEL
kvq	KAREN_GEBA
kvr	KERINCI
kvu	KAREN_YINBAW
kvw	WERSING
kvy	KAREN_YINTALE
kvz	TTSAKWAMBO
kwa	DAW
kwb	KWA_NIGERIA
kwc	LIKWALA
kwd	KWAIO
kwf	KWARAAE
kwg	KABA_DEME_SARA
kwh	KOWIAI
kwi	AWA_PIT
kwj	KWANGA
kwk	KWAKWALA
kwl	KOFYAR
kwm	KWAMBI
kwn	KWANGALI
kwo	KWOMTARI
kwr	KWER
kws	KWESE
kwt	KWESTEN
kwu	KWAKUM
kwv	NA_CHAD
kww	KWINTI
kwy	KONGO_SAN_SALVADOR
kwz	KWADI
kxa	KAIRIRU
kxb	KROBU
kxc	KOMSO
kxd	BRUNEI
kxf	KAREN_MANUMANAW
kxh	KARO
kxj	KULFA
kxm	SURIN
kxo	KANOE
kxq	RAWA_BIRU
kxs	KANGJIA
kxt	KOIWAT
kxv	KUVI
kxw	KONAI
kxz	KEREWO
kya	KWAYA
kyc	KYAKA_ENGA
kye	KRACHE
kyh	KAROK
kyi	KIPUT
kyl	SANTIAM
kyq	KENGA
kyr	KURUAYA
kyt	KAYAGAR
kyu	KAYAH_WESTERN
kyw	KUDMALI
kyx	RAPOISI
kyy	KAMBAIRA
kyz	KAYABI
kza	WESTERN_KARABORO
kzc	BUDUKU_KULANGO
kzf	DAA
kzg	KAMIKATETSU_KIKAI
kzi	BARIO_KELABIT
kzk	KAZUKURU
kzl	KAYELI
kzm	KAIS
kzo	KANINGI
kzp	KAIDIPANG
kzq	KAIKE
kzr	KARANG
kzu	KAYUPULAU
kzv	KOMYANDARET
kzw	KARIRI
lac	LACANDON
lad	JUDEO_ESPAGNOL
lae	PATTANI
laf	TEGEM
lag	RANGI
lai	LAMBYA
laj	LANGO
lam	LAMBA
lan	LARU_NIGERIA
lao	LAO
lap	LAKA
laq	PUBIAO
lar	LARTEH
las	LAMA
lat	LATIN
law	LAUJE
lax	TIWA
laz	ARIBWATSA
lbb	LABEL
lbe	LAK
lbf	TINANI
lbi	LABI
lbj	LADAKHI
lbl	LIBON
lbm	LODHI
lbn	LAMPANGLAMET
lbq	WAMPAR
lbr	LOHORUNG
lbt	LACHI
lbu	LABU
lbv	LAMASONG
lbw	TOLAKI
lbx	LAWANGAN
lcc	LANGANYAN
lcf	LUBU
lch	LUCAZI
lcl	LISELA
lcm	TUNGAK
lcp	LAWA_LA_UP
ldb	IDU
ldg	LENYIMA
ldj	LEMORO
ldk	LEELAU
ldl	KAAN
ldm	LANDOMA
ldo	LOO
ldq	LUFU
lea	LEGA_SHABUNDA
lec	LEKO
led	LENDU
lee	LYELE
lef	BUEM_LELEMI
leh	LENJE
lei	LEMIO
lej	LENGOLA
lek	LEIPON
lel	LWEL_KILORI
lem	NOMAANDE
lep	LEPCHA
leq	LEMBENA
les	BALESE
leu	KARA
lev	LAMMA
lex	LUANG
ley	LEMOLANG
lfa	LEFA
lga	LUNGGA
lgg	LUGBARA
lgk	LINGARAK
lgl	WALA
lgm	LEGA_MWENGA
lgn	LANGA
lgq	LOGBA
lgr	LENGO
lgt	PAHI
lgu	LONGGU
lha	LAHA
lhm	LHOMI
lhn	LAHANAN
lhs	MLAHSO
lht	TOGA
lhu	LAHU
lia	WEST_CENTRAL_LIMBA
lib	LIKUM
lid	NYINDROU
lif	LIMBU
lig	LIGBI
lih	SUNGLIK_LIHIR
lik	LILIKO
lil	LILLOOET
lim	LIMBURGISH
lin	LINGALA
lip	LIKPE
liq	LIBIDO
lis	LISU
lit	LITHUANIAN
liu	LOGORIK
lix	LIABUKA
liy	LINDA
liz	LIBINZA
lje	RAMPI
lji	LAIYOLO
ljl	LIO
lkj	REMUN
lkn	LAKONA
lkr	PARI
lkt	LAKOTA
lky	LOKOYA
lla	LALA_NIGERIA
llb	LOLO
llc	LELE_GUINEA
lle	LELE
llf	HERMIT
lli	WESTERN_TEKE_LAALI
llk	LELAK
lll	LILAU
llm	LASALIMU
lln	LELE_CHAD
llu	LAU
lma	EAST_LIMBA
lmb	LAMETIN
lmc	LIMILNGAN
lmd	LUMUN
lmg	LAMOGAI
lmi	LOMBI
lml	RAGA
lmn	LAMANI
lmp	LIMBUM
lmr	LAMALERA
lmu	LAMENU
lmw	MIWOK_LAKE
lmx	BU_CAMEROON
lmy	LAMBOYA
lna	LANGBASI
lnb	MBALANHU
lnd	LUN_BAWANG
lnh	LANOH
lnj	LENINGITIJ
lnm	LANGAM
lnn	LOREDIAKARKAR
lns	LAMNSOQ
lnu	LONGUDA
loa	LOLODA
lob	LOBI
lof	LOGOL
log	LOGO
loh	NARIM_LARIM
loj	LOU
lok	LOKO
lol	MONGO
lom	LOMA_LIBERIA
loo	LOMBO
lop	LOPA
loq	LOBALA
lor	LORHON
los	LONIU
loy	LOWA
loz	SILOZI
lpa	LELEPA
lpe	LEPKI
lpx	LOPIT
lra	LARA
lrg	LARRAKIA
lrl	LARESTANI
lro	LARU_SUDAN
lrr	SOUTHERN_YAMPHU
lrv	LAREVAT
lrz	LEMERIG
lsa	LASGERDI
lsd	LISHANA_DENI
lsh	LISH
lsi	LASHI
lsm	SAMIA
lsr	SRENGE
lss	LASI
ltc	MIDDLE_CHINESE
lti	LETINESE
lto	TSOTSO
ltz	LUXEMBOURGISH
lua	LUBA
lub	KILUBA
luc	ARINGA
lue	LUVALE
luf	LAUA
lug	GANDA
lui	LUISENO
lun	LUNDA
luo	LUO
lup	LUMBU
lus	LUSHAI
lut	LUSHOOTSEED
luz	LURI
lvi	LAWI
lvk	LAVUKALEVE
lvs	LATVIAN
lwg	WANGA
lwh	WHITE_LACHI
lwl	WIANG_PA_PAO_LUA
lwo	GIUR
lyg	LYNGNGAM
lzl	LITZLITZ
lzn	LEINONG
lzz	LAZ
maa	SAN_JERONIMO_TECOATL
mad	MADURESE
mae	RUKUL
maf	MAFA
mag	MAGAHI
mah	MARSHALLESE
mai	MAITHILI
maj	JALAPA_DE_DIAZ
mak	MAKASAR
mal	MALAYALAM
maq	MAZATEC_CHIQUIHUITLAN
mar	MARATHI
mas	MAASAI
mat	MATLATZINCA_SAN_FRANCISCO_OXTOTILPAN
mau	HUAUTLA_DE_JIMENEZ
mav	SATERE_MAWE
maw	MAMPRULI
max	TERNATE_PASAR
maz	MAZAHUA_CENTRAL
mba	HIGAONON_BINUKID
