Code	Codelist Code	Codelist Extensible (Yes/No)	Codelist Name	CDISC Submission Value	CDISC Synonym(s)	CDISC Definition	NCI Preferred Term
C207509	C207426		DDF Narrative Content Attribute Terminology	Narrative Content Section Number		The numeric identifier assigned to a particular document section containing narrative content.	Narrative Content Section Number
C207510	C207426		DDF Narrative Content Attribute Terminology	Narrative Content Section Title		An identifying designation for the document section containing narrative content.	Narrative Content Section Title
C207508	C207426		DDF Narrative Content Attribute Terminology	Narrative Content Text		A textual representation of the narrative content.	Narrative Content Text
C188707		No	DDF Objective Attribute Terminology	DDF Objective Attribute Terminology	DDF Objective Attribute Terminology	A terminology value set relevant to the attributes of the objective.	CDISC DDF Objective Attribute Terminology
C94090	C188707		DDF Objective Attribute Terminology	Study Objective Description		A narrative representation of the study objective.	Study Objective Description
C207511	C188707		DDF Objective Attribute Terminology	Study Objective Label		The short descriptive designation for the study objective.	Study Objective Label
C188823	C188707		DDF Objective Attribute Terminology	Study Objective Level		A characterization or classification of the study objective that determines its category of importance relative to other study objectives.	Study Objective Level
C207512	C188707		DDF Objective Attribute Terminology	Study Objective Name		The literal identifier (i.e., distinctive designation) of the study objective.	Study Objective Name
C207513	C188707		DDF Objective Attribute Terminology	Study Objective Text		An instance of structured text that represents the study objective.	Study Objective Text
C188702		No	DDF Organization Attribute Terminology	DDF Organization Attribute Terminology	DDF Organization Attribute Terminology	A terminology value set relevant to the attributes of the organization.	CDISC DDF Organization Attribute Terminology
C188819	C188702		DDF Organization Attribute Terminology	Identifier Provider Organization Name		The name of the organization that provides the identifier for the entity.	Identifier Provider Organization Name
C93401	C188702		DDF Organization Attribute Terminology	Organization Identifier		A unique symbol that establishes identity of the organization. (BRIDG)	Organization Identifier
C207514	C188702		DDF Organization Attribute Terminology	Organization Label		The short descriptive designation for the organization.	Organization Label
C93874	C188702		DDF Organization Attribute Terminology	Organization Name		A non-unique textual identifier for the organization. (BRIDG)	Organization Name
C188820	C188702		DDF Organization Attribute Terminology	Organization Type		A characterization or classification of the formalized group of persons or other organizations collected together for a common purpose (such as administrative, legal, political) and the infrastructure to carry out that purpose.	Organization Type
C207431		No	DDF Parameter Map Attribute Terminology	DDF Parameter Map Attribute Terminology	DDF Parameter Map Attribute Terminology	A terminology value set relevant to the attributes of the parameter map.	CDISC DDF Parameter Map Attribute Terminology
C207516	C207431		DDF Parameter Map Attribute Terminology	Programming Tag Reference		The reference for a tag used in programming languages, such as a markup language (e.g., HTML, XML), to store attributes and elements.	Programming Tag Reference
C207515	C207431		DDF Parameter Map Attribute Terminology	Programming Tag		Character strings bounded by angle brackets that act as containers for programming language elements.	Programming Tag
C207432		No	DDF Population Definition Attribute Terminology	DDF Population Definition Attribute Terminology	DDF Population Definition Attribute Terminology	A terminology value set relevant to the attributes of the population definition.	CDISC DDF Population Definition Attribute Terminology
C207517	C207432		DDF Population Definition Attribute Terminology	Population Definition Description		A narrative representation of the population definition.	Population Definition Description
C207518	C207432		DDF Population Definition Attribute Terminology	Population Definition Includes Healthy Subjects Indicator		An indication as to whether the population definition includes healthy subjects, that is, subjects without the disease or condition under study.	Population Definition Includes Healthy Subjects Indicator
C207519	C207432		DDF Population Definition Attribute Terminology	Population Definition Label		The short descriptive designation for the population definition.	Population Definition Label
C207520	C207432		DDF Population Definition Attribute Terminology	Population Definition Name		The literal identifier (i.e., distinctive designation) of the population definition.	Population Definition Name
C207701	C207432		DDF Population Definition Attribute Terminology	Population Definition Planned Age		The anticipated age of subjects within the population definition.	Population Definition Planned Age
C207521	C207432		DDF Population Definition Attribute Terminology	Population Definition Planned Completion Number		The value representing the planned number of subjects that must complete the study in order to meet the objectives and endpoints of the study, within the population definition.	Population Definition Planned Completion Number
C207522	C207432		DDF Population Definition Attribute Terminology	Population Definition Planned Enrollment Number		The value representing the planned number of subjects to be entered in a clinical trial, within the population definition.	Population Definition Planned Enrollment Number
C207523	C207432		DDF Population Definition Attribute Terminology	Population Definition Planned Sex		The protocol-defined sex within the population definition.	Population Definition Planned Sex
C188716		No	DDF Procedure Attribute Terminology	DDF Procedure Attribute Terminology	DDF Procedure Attribute Terminology	A terminology value set relevant to the attributes of the procedure.	CDISC DDF Procedure Attribute Terminology
C154626	C188716		DDF Procedure Attribute Terminology	Procedure Code		A symbol or combination of symbols which is assigned to medical procedure.	Procedure Code
C201324	C188716		DDF Procedure Attribute Terminology	Procedure Description		A narrative representation of the procedure.	Procedure Description
C207524	C188716		DDF Procedure Attribute Terminology	Procedure Label		The short descriptive designation for the procedure.	Procedure Label
C201325	C188716		DDF Procedure Attribute Terminology	Procedure Name		The literal identifier (i.e., distinctive designation) of the procedure.	Procedure Name
C188848	C188716		DDF Procedure Attribute Terminology	Procedure Type		A characterization or classification of the study procedure.	Study Procedure Type
C207433		No	DDF Quantity Attribute Terminology	DDF Quantity Attribute Terminology	DDF Quantity Attribute Terminology	A terminology value set relevant to the attributes of the quantity.	CDISC DDF Quantity Attribute Terminology
C44258	C207433		DDF Quantity Attribute Terminology	Quantity Unit		The type of unit of measure being used to express a quantity.	Unit of Quantity
C25712	C207433		DDF Quantity Attribute Terminology	Quantity Value		A numerical quantity measured or assigned or computed.	Value
C207434		No	DDF Range Attribute Terminology	DDF Range Attribute Terminology	DDF Range Attribute Terminology	A terminology value set relevant to the attributes of the range.	CDISC DDF Range Attribute Terminology
C25564	C207434		DDF Range Attribute Terminology	Maximum Value		The largest value in quantity or degree in a set of values.	Maximum
C25570	C207434		DDF Range Attribute Terminology	Minimum Value		The smallest value in quantity or degree in a set of values.	Minimum
C25709	C207434		DDF Range Attribute Terminology	Unit of Measure		A named quantity in terms of which other quantities are measured or specified, used as a standard measurement of like kinds.	Unit of Measure
C207525	C207434		DDF Range Attribute Terminology	Value Range is Approximate Indicator		An indication as to whether the value range is almost, but not quite, exact.	Value Range is Approximate Indicator
C207435		No	DDF Research Organization Attribute Terminology	DDF Research Organization Attribute Terminology	DDF Research Organization Attribute Terminology	A terminology value set relevant to the attributes of the research organization.	CDISC DDF Research Organization Attribute Terminology
C207526	C207435		DDF Research Organization Attribute Terminology	Identifier Provider Research Organization Name		The name of the research organization that provides the identifier for the entity.	Identifier Provider Research Organization Name
C188820	C207435		DDF Research Organization Attribute Terminology	Organization Type		A characterization or classification of the formalized group of persons or other organizations collected together for a common purpose (such as administrative, legal, political) and the infrastructure to carry out that purpose.	Organization Type
C207527	C207435		DDF Research Organization Attribute Terminology	Research Organization Identifier		A sequence of characters used to identify, name, or characterize the research organization.	Research Organization Identifier
C207528	C207435		DDF Research Organization Attribute Terminology	Research Organization Label		The short descriptive designation for the research organization.	Research Organization Label
C207529	C207435		DDF Research Organization Attribute Terminology	Research Organization Name		The literal identifier (i.e., distinctive designation) of the research organization.	Research Organization Name
C201258		No	DDF Response Code Attribute Terminology	DDF Response Code Attribute Terminology	DDF Response Code Attribute Terminology	A terminology value set relevant to the attributes of the response code.	CDISC DDF Response Code Attribute Terminology
C25162	C201258		DDF Response Code Attribute Terminology	Code		A symbol or combination of symbols which is assigned to the members of a collection.	Code
C201330	C201258		DDF Response Code Attribute Terminology	Response Code Enabled Indicator		An indication as to whether the response code is activated for use within a given usage context.	Response Code Enabled Indicator
C201259		No	DDF Schedule Timeline Attribute Terminology	DDF Schedule Timeline Attribute Terminology	DDF Schedule Timeline Attribute Terminology	A terminology value set relevant to the attributes of the schedule timeline.	CDISC DDF Schedule Timeline Attribute Terminology
C201331	C201259		DDF Schedule Timeline Attribute Terminology	Main Timeline Indicator		An indication as to whether the timeline or timeline component is part of the central or principal timeline.	Main Timeline Indicator
C201332	C201259		DDF Schedule Timeline Attribute Terminology	Schedule Timeline Description		A narrative representation of the schedule timeline.	Schedule Timeline Description
C201333	C201259		DDF Schedule Timeline Attribute Terminology	Schedule Timeline Entry Condition		A logical evaluation on which rests the validity of entry into a schedule timeline.	Schedule Timeline Entry Condition
C207530	C201259		DDF Schedule Timeline Attribute Terminology	Schedule Timeline Label		The short descriptive designation for the schedule timeline.	Schedule Timeline Label
C201334	C201259		DDF Schedule Timeline Attribute Terminology	Schedule Timeline Name		The literal identifier (i.e., distinctive designation) of the schedule timeline.	Schedule Timeline Name
C207436		No	DDF Scheduled Activity Instance Attribute Terminology	DDF Scheduled Activity Instance Attribute Terminology	DDF Scheduled Activity Instance Attribute Terminology	A terminology value set relevant to the attributes of the scheduled activity instance.	CDISC DDF Scheduled Activity Instance Attribute Terminology
C207531	C207436		DDF Scheduled Activity Instance Attribute Terminology	Scheduled Activity Instance Description		A narrative representation of the scheduled activity instance.	Scheduled Activity Instance Description
C207532	C207436		DDF Scheduled Activity Instance Attribute Terminology	Scheduled Activity Instance Label		The short descriptive designation for the scheduled activity instance.	Scheduled Activity Instance Label
C207533	C207436		DDF Scheduled Activity Instance Attribute Terminology	Scheduled Activity Instance Name		The literal identifier (i.e., distinctive designation) of the scheduled activity instance.	Scheduled Activity Instance Name
C201260		No	DDF Scheduled Decision Instance Attribute Terminology	DDF Scheduled Decision Instance Attribute Terminology	DDF Scheduled Decision Instance Attribute Terminology	A terminology value set relevant to the attributes of the scheduled decision instance.	CDISC DDF Scheduled Decision Instance Attribute Terminology
C207534	C201260		DDF Scheduled Decision Instance Attribute Terminology	Scheduled Decision Instance Description		A narrative representation of the scheduled Decision instance.	Scheduled Decision Instance Description
C207535	C201260		DDF Scheduled Decision Instance Attribute Terminology	Scheduled Decision Instance Label		The short descriptive designation for the scheduled Decision instance.	Scheduled Decision Instance Label
C207536	C201260		DDF Scheduled Decision Instance Attribute Terminology	Scheduled Decision Instance Name		The literal identifier (i.e., distinctive designation) of the scheduled Decision instance.	Scheduled Decision Instance Name
C201261		No	DDF Scheduled Instance Attribute Terminology	DDF Scheduled Instance Attribute Terminology	DDF Scheduled Instance Attribute Terminology	A terminology value set relevant to the attributes of the scheduled instance.	CDISC DDF Scheduled Instance Attribute Terminology
C207453	C201261		DDF Scheduled Instance Attribute Terminology	Scheduled Instance Description		A narrative representation of the scheduled instance.	Scheduled Instance Description
C207454	C201261		DDF Scheduled Instance Attribute Terminology	Scheduled Instance Label		The short descriptive designation for the scheduled instance.	Scheduled Instance Label
C207455	C201261		DDF Scheduled Instance Attribute Terminology	Scheduled Instance Name		The literal identifier (i.e., distinctive designation) of the scheduled instance.	Scheduled Instance Name
C207437		No	DDF Study Amendment Attribute Terminology	DDF Study Amendment Attribute Terminology	DDF Study Amendment Attribute Terminology	A terminology value set relevant to the attributes of the study amendment.	CDISC DDF Study Amendment Attribute Terminology
C207537	C207437		DDF Study Amendment Attribute Terminology	Study Amendment Number	Amendment Identifier	A string of numerals that uniquely identifies a protocol amendment.	Study Amendment Number
C207538	C207437		DDF Study Amendment Attribute Terminology	Study Amendment Substantial Impact Indicator		An indication as to whether the amendment is likely to have a substantial impact on the safety or rights of study subjects/participants.	Study Amendment Substantial Impact Indicator
C115627	C207437		DDF Study Amendment Attribute Terminology	Study Amendment Summary		A short narrative representation describing the changes introduced in the current version of the protocol.	Clinical Trial Protocol Amendment Summary
C207438		No	DDF Study Amendment Reason Attribute Terminology	DDF Study Amendment Reason Attribute Terminology	DDF Study Amendment Reason Attribute Terminology	A terminology value set relevant to the attributes of the study amendment reason.	CDISC DDF Study Amendment Reason Attribute Terminology
C207539	C207438		DDF Study Amendment Reason Attribute Terminology	Other Reason for Study Amendment		The rationale for the change(s) to, or formal clarification of, a protocol that is not otherwise specified.	Other Reason for Study Amendment
C207540	C207438		DDF Study Amendment Reason Attribute Terminology	Study Amendment Reason Code	Study Amendment Reason Code	A symbol or combination of symbols which is assigned to the study amendment reason.	Study Amendment Reason Code
C188709		No	DDF Study Arm Attribute Terminology	DDF Study Arm Attribute Terminology	DDF Study Arm Attribute Terminology	A terminology value set relevant to the attributes of the study Arm.	CDISC DDF Study Arm Attribute Terminology
C188828	C188709		DDF Study Arm Attribute Terminology	Study Arm Data Origin Description		The textual representation of the study arm data origin.	Study Arm Data Origin Description
C188829	C188709		DDF Study Arm Attribute Terminology	Study Arm Data Origin Type		A characterization or classification of the study arm with respect to where the study arm data originates.	Study Arm Data Origin Type
C93728	C188709		DDF Study Arm Attribute Terminology	Study Arm Description	Arm Description	A narrative representation of the study arm.	Arm Description
C172456	C188709		DDF Study Arm Attribute Terminology	Study Arm Label	Arm Label	The short descriptive designation for the study arm.	Study Arm Label
C170984	C188709		DDF Study Arm Attribute Terminology	Study Arm Name		The literal identifier (i.e., distinctive designation) of the study arm.	Planned Study Arm Name
C172457	C188709		DDF Study Arm Attribute Terminology	Study Arm Type	Arm Type	A characterization or classification of the study arm.	Study Arm Type
C207439		No	DDF Study Cohort Attribute Terminology	DDF Study Cohort Attribute Terminology	DDF Study Cohort Attribute Terminology	A terminology value set relevant to the attributes of the study cohort.	CDISC DDF Study Cohort Attribute Terminology
C207542	C207439		DDF Study Cohort Attribute Terminology	Study Cohort Description		A narrative representation of the study cohort.	Study Cohort Description
C207480	C207439		DDF Study Cohort Attribute Terminology	Study Cohort Includes Healthy Subjects Indicator		An indication as to whether the study cohort includes healthy subjects, that is, subjects without the disease or condition under study.	Study Cohort Includes Healthy Subjects Indicator
C207543	C207439		DDF Study Cohort Attribute Terminology	Study Cohort Label		The short descriptive designation for the study cohort.	Study Cohort Label
C207544	C207439		DDF Study Cohort Attribute Terminology	Study Cohort Name		The literal identifier (i.e., distinctive designation) of the study cohort.	Study Cohort Name
C207545	C207439		DDF Study Cohort Attribute Terminology	Study Cohort Planned Age		The anticipated age of subjects within the study cohort.	Study Cohort Planned Age
C207546	C207439		DDF Study Cohort Attribute Terminology	Study Cohort Planned Completion Number		The value representing the planned number of subjects that must complete the study in order to meet the objectives and endpoints of the study, within the study cohort.	Study Cohort Planned Completion Number
C207702	C207439		DDF Study Cohort Attribute Terminology	Study Cohort Planned Enrollment Number		The value representing the planned number of subjects to be entered in a clinical trial, within the study cohort.	Study Cohort Planned Enrollment Number
C207541	C207439		DDF Study Cohort Attribute Terminology	Study Cohort Planned Sex		The protocol-defined sex within the study cohort.	Planned Sex of Study Cohort Participants
C188703		No	DDF Study Design Attribute Terminology	DDF Study Design Attribute Terminology	DDF Study Design Attribute Terminology	A terminology value set relevant to the attributes of the study design.	CDISC DDF Study Design Attribute Terminology
C98746	C188703		DDF Study Design Attribute Terminology	Intervention Model Type	Intervention Model	The general design of the strategy for assigning interventions to participants in a clinical study. (clinicaltrials.gov)	Intervention Model
C207547	C188703		DDF Study Design Attribute Terminology	Study Design Characteristic		The distinguishing qualities or prominent aspect of a study design.	Study Design Characteristic
C147139	C188703		DDF Study Design Attribute Terminology	Study Design Description	Overall Design; Study Design Description; Study Design Overview; Summary of Study Design	A narrative representation of the study design.	Study Design Description
C207548	C188703		DDF Study Design Attribute Terminology	Study Design Label		The short descriptive designation for the study design.	Study Design Label
C201338	C188703		DDF Study Design Attribute Terminology	Study Design Name		The literal identifier (i.e., distinctive designation) of the study design.	Study Design Name
C70834	C188703		DDF Study Design Attribute Terminology	Study Design Population Description		A narrative representation of the study design population.	Study Population Description
C142705	C188703		DDF Study Design Attribute Terminology	Study Design Rationale		Reason(s) for choosing the study design. This may include reasons for the choice of control or comparator, as well as the scientific rationale for the study design.	Study Design Rationale
C101302	C188703		DDF Study Design Attribute Terminology	Therapeutic Areas	Therapeutic Area	A categorization of a disease, disorder, or other condition based on common characteristics and often associated with a medical specialty focusing on research and development of specific therapeutic interventions for the purpose of treatment and prevention.	Therapeutic Area
C49658	C188703		DDF Study Design Attribute Terminology	Trial Blinding Schema	Study Blinding Design; Study Blinding Schema; Study Masking Design; Trial Blinding Design; Trial Blinding Schema; Trial Masking Design	The type of experimental design used to describe the level of awareness of the study subjects and/ or study personnel as it relates to the respective intervention(s) or assessments being observed, received or administered.	Trial Blinding Schema
C49652	C188703		DDF Study Design Attribute Terminology	Trial Intent Type	Trial Intent Type	The planned purpose of the therapy, device, or agent under study in the clinical trial.	Clinical Study by Intent
C49660	C188703		DDF Study Design Attribute Terminology	Trial Type	Trial Scope; Trial Type	The nature of the interventional study for which information is being collected.	Trial Type
C188706		No	DDF Study Design Population Attribute Terminology	DDF Study Design Population Attribute Terminology	DDF Study Design Population Attribute Terminology	A terminology value set relevant to the attributes of the study design population.	CDISC DDF Study Design Population Attribute Terminology
C207549	C188706		DDF Study Design Population Attribute Terminology	Study Design Population Includes Healthy Subjects Indicator		An indication as to whether the study design population includes healthy subjects, that is, subjects without the disease or condition under study.	Study Design Population Includes Healthy Subjects Indicator
C207550	C188706		DDF Study Design Population Attribute Terminology	Study Design Population Label		The short descriptive designation for the study design population.	Study Design Population Label
C207553	C188706		DDF Study Design Population Attribute Terminology	Study Design Population Name		The literal identifier (i.e., distinctive designation) of the study design population.	Study Design Population Name
C207450	C188706		DDF Study Design Population Attribute Terminology	Study Design Population Planned Age		The anticipated age of subjects within the study design population.	Study Design Population Planned Age
C207451	C188706		DDF Study Design Population Attribute Terminology	Study Design Population Planned Completion Number		The value representing the planned number of subjects that must complete the study in order to meet the objectives and endpoints of the study, within the study design population.	Study Design Population Planned Completion Number
C207452	C188706		DDF Study Design Population Attribute Terminology	Study Design Population Planned Enrollment Number		The value representing the planned number of subjects to be entered in a clinical trial, within the study design population.	Study Design Population Planned Enrollment Number
C207551	C188706		DDF Study Design Population Attribute Terminology	Study Design Population Planned Sex		The protocol-defined sex within the study design population.	Study Design Population Planned Sex
C188711		No	DDF Study Element Attribute Terminology	DDF Study Element Attribute Terminology	DDF Study Element Attribute Terminology	A terminology value set relevant to the attributes of the study element.	CDISC DDF Study Element Attribute Terminology
C188834	C188711		DDF Study Element Attribute Terminology	Study Design Element Description		A narrative representation of the study design element.	Study Design Element Description
C207554	C188711		DDF Study Element Attribute Terminology	Study Design Element Label		The short descriptive designation for the study design element.	Study Design Element Label
C188833	C188711		DDF Study Element Attribute Terminology	Study Design Element Name		The literal identifier (i.e., distinctive designation) of the study design element.	Study Design Element Name
C188710		No	DDF Study Epoch Attribute Terminology	DDF Study Epoch Attribute Terminology	DDF Study Epoch Attribute Terminology	A terminology value set relevant to the attributes of the study epoch.	CDISC DDF Study Epoch Attribute Terminology
C93824	C188710		DDF Study Epoch Attribute Terminology	Study Epoch Description		A narrative representation of the study epoch.	Epoch Description
C207555	C188710		DDF Study Epoch Attribute Terminology	Study Epoch Label		The short descriptive designation for the study epoch.	Study Epoch Label
C93825	C188710		DDF Study Epoch Attribute Terminology	Study Epoch Name		The literal identifier (i.e., distinctive designation) of the study epoch, i.e., the named time period defined in the protocol, wherein a study activity is specified and unchanging throughout the interval, to support a study-specific purpose.	Epoch Name
C188830	C188710		DDF Study Epoch Attribute Terminology	Study Epoch Type		A characterization or classification of the study epoch, i.e., the named time period defined in the protocol, wherein a study activity is specified and unchanging throughout the interval, to support a study-specific purpose.	Study Epoch Type
C188701		No	DDF Study Identifier Attribute Terminology	DDF Study Identifier Attribute Terminology	DDF Study Identifier Attribute Terminology	A terminology value set relevant to the attributes of the study identifier.	CDISC DDF Study Identifier Attribute Terminology
C83082	C188701		DDF Study Identifier Attribute Terminology	Study Identifier		A sequence of characters used to identify, name, or characterize the study.	Study Identifier
C188704		No	DDF Study Intervention Attribute Terminology	DDF Study Intervention Attribute Terminology	DDF Study Intervention Attribute Terminology	A terminology value set relevant to the attributes of the study interventions.	CDISC DDF Study Intervention Attribute Terminology
C98768	C188704		DDF Study Intervention Attribute Terminology	Pharmacologic Class	Pharmacologic Class	The pharmacological class of the investigational product.	Pharmacological Class of Investigational Therapy
C207648	C188704		DDF Study Intervention Attribute Terminology	Study Intervention Code		A symbol or combination of symbols which is assigned to the study intervention.	Study Intervention Code
C207647	C188704		DDF Study Intervention Attribute Terminology	Study Intervention Description		A narrative representation of the study intervention.	Study Intervention Description
C207556	C188704		DDF Study Intervention Attribute Terminology	Study Intervention Label		The short descriptive designation for the study intervention.	Study Intervention Label
C207557	C188704		DDF Study Intervention Attribute Terminology	Study Intervention Minimum Response Duration		The value representing the minimum amount of time required to meet the criteria for response to study intervention.	Study Intervention Minimum Response Duration
C207558	C188704		DDF Study Intervention Attribute Terminology	Study Intervention Name		The literal identifier (i.e., distinctive designation) of the study intervention.	Study Intervention Name
C207559	C188704		DDF Study Intervention Attribute Terminology	Study Intervention Product Designation		An indication as to whether the investigational intervention is an investigational medicinal product or an auxiliary medicinal product.	Study Intervention Product Type
C207560	C188704		DDF Study Intervention Attribute Terminology	Study Intervention Role	Study Intervention Use	The intended use of the trial intervention within the context of the study design.	Study Intervention Role
C98747	C188704		DDF Study Intervention Attribute Terminology	Study Intervention Type	Intervention Type	The kind of product or procedure studied in a trial.	Intervention Type
C207440		No	DDF Study Protocol Document Attribute Terminology	DDF Study Protocol Document Attribute Terminology	DDF Study Protocol Document Attribute Terminology	A terminology value set relevant to the attributes of the study protocol document.	CDISC DDF Study Protocol Document Attribute Terminology
C207561	C207440		DDF Study Protocol Document Attribute Terminology	Study Protocol Document Description		A narrative representation of the study protocol document.	Study Protocol Document Description
C207562	C207440		DDF Study Protocol Document Attribute Terminology	Study Protocol Document Label		The short descriptive designation for the study protocol document.	Study Protocol Document Label
C207563	C207440		DDF Study Protocol Document Attribute Terminology	Study Protocol Document Name		The literal identifier (i.e., distinctive designation) of the study protocol document.	Study Protocol Document Name
C207441		No	DDF Study Site Attribute Terminology	DDF Study Site Attribute Terminology	DDF Study Site Attribute Terminology	A terminology value set relevant to the attributes of the study site.	CDISC DDF Study Site Attribute Terminology
C207564	C207441		DDF Study Site Attribute Terminology	Study Site Description		A narrative representation of the study site.	Study Site Description
C207565	C207441		DDF Study Site Attribute Terminology	Study Site Label		The short descriptive designation for the study site.	Study Site Label
C207566	C207441		DDF Study Site Attribute Terminology	Study Site Name		The literal identifier (i.e., distinctive designation) of the study site.	Study Site Name
C207442		No	DDF Study Title Attribute Terminology	DDF Study Title Attribute Terminology	DDF Study Title Attribute Terminology	A terminology value set relevant to the attributes of the study title.	CDISC DDF Study Title Attribute Terminology
C207567	C207442		DDF Study Title Attribute Terminology	Study Title Text		An instance of unstructured text that represents the study title.	Study Title Text
C207568	C207442		DDF Study Title Attribute Terminology	Study Title Type		A characterization or classification of the study title.	Study Title Type
C207443		No	DDF Study Version Attribute Terminology	DDF Study Version Attribute Terminology	DDF Study Version Attribute Terminology	A terminology value set relevant to the attributes of the study version.	CDISC DDF Study Version Attribute Terminology
C201322	C207443		DDF Study Version Attribute Terminology	Business Therapeutic Areas		A therapeutic area classification based on the structure and operations of the business unit.	Business Therapeutic Area
C94122	C207443		DDF Study Version Attribute Terminology	Study Rationale	Study Purpose	A statement describing the overall rationale of the study. This field describes the contribution of this study to product development, i.e., what knowledge is being contributed from the conduct of this study.	Study Protocol Version Purpose Statement
C142175	C207443		DDF Study Version Attribute Terminology	Study Type Classification	Study Type; Study Type Classification	The nature of the investigation for which study information is being collected. (After clinicaltrials.gov)	Study Type
C207570	C207443		DDF Study Version Attribute Terminology	Study Version Identifier		A sequence of characters used to identify, name, or characterize the study version.	Study Version Identifier
C48281	C207443		DDF Study Version Attribute Terminology	Trial Phase	Trial Phase; Trial Phase Classification	A step in the clinical research and development of a therapy from initial clinical trials to post-approval studies. NOTE: Clinical trials are generally categorized into four (sometimes five) phases. A therapeutic intervention may be evaluated in two or more phases simultaneously in different trials, and some trials may overlap two different phases. [21 CFR section 312.21; After ICH Topic E8 NOTE FOR GUIDANCE ON GENERAL CONSIDERATIONS FOR CLINICAL TRIALS, CPMP/ICH/291/95 March 1998]	Trial Phase
C207444		No	DDF Subject Enrollment Attribute Terminology	DDF Subject Enrollment Attribute Terminology	DDF Subject Enrollment Attribute Terminology	A terminology value set relevant to the attributes of the subject enrollment.	CDISC DDF Subject Enrollment Attribute Terminology
C207571	C207444		DDF Subject Enrollment Attribute Terminology	Subject Enrollment Code		A symbol or combination of symbols which is assigned to the subject enrollment.	Subject Enrollment Code
C207573	C207444		DDF Subject Enrollment Attribute Terminology	Subject Enrollment Quantity Value		The value representing the number of individuals enrolled in a study.	Subject Enrollment Quantity Value
C207574	C207444		DDF Subject Enrollment Attribute Terminology	Subject Enrollment Type		A characterization or classification of the subject enrollment.	Subject Enrollment Type
C207445		No	DDF Syntax Template Attribute Terminology	DDF Syntax Template Attribute Terminology	DDF Syntax Template Attribute Terminology	A terminology value set relevant to the attributes of the syntax template.	CDISC DDF Syntax Template Attribute Terminology
C207575	C207445		DDF Syntax Template Attribute Terminology	Syntax Template Description		A narrative representation of the syntax template.	Syntax Template Description
C207576	C207445		DDF Syntax Template Attribute Terminology	Syntax Template Label		The short descriptive designation for the syntax template.	Syntax Template Label
C207577	C207445		DDF Syntax Template Attribute Terminology	Syntax Template Name		The literal identifier (i.e., distinctive designation) of the syntax template.	Syntax Template Name
C207578	C207445		DDF Syntax Template Attribute Terminology	Syntax Template Text		A structured text string containing prescribed text interspersed with user-defined parameter values.	Syntax Template Text
C207446		No	DDF Syntax Template Dictionary Attribute Terminology	DDF Syntax Template Dictionary Attribute Terminology	DDF Syntax Template Dictionary Attribute Terminology	A terminology value set relevant to the attributes of the syntax template dictionary.	CDISC DDF Syntax Template Dictionary Attribute Terminology
C207579	C207446		DDF Syntax Template Dictionary Attribute Terminology	Syntax Template Dictionary Description		A narrative representation of the syntax template dictionary.	Syntax Template Dictionary Description
C207580	C207446		DDF Syntax Template Dictionary Attribute Terminology	Syntax Template Dictionary Label		The short descriptive designation for the syntax template dictionary.	Syntax Template Dictionary Label
C207581	C207446		DDF Syntax Template Dictionary Attribute Terminology	Syntax Template Dictionary Name		The literal identifier (i.e., distinctive designation) of the syntax template dictionary.	Syntax Template Dictionary Name
C201262		No	DDF Timing Attribute Terminology	DDF Timing Attribute Terminology	DDF Timing Attribute Terminology	A terminology value set relevant to the attributes of the timing.	CDISC DDF Timing Attribute Terminology
C164648	C201262		DDF Timing Attribute Terminology	Timing Description		A narrative representation of the biomedical concept category.	Timing Description
C207583	C201262		DDF Timing Attribute Terminology	Timing Label		The short descriptive designation for the timing.	Timing Label
C207584	C201262		DDF Timing Attribute Terminology	Timing Name		The literal identifier (i.e., distinctive designation) of the timing.	Timing Name
C201297	C201262		DDF Timing Attribute Terminology	Timing Relative To From		The name of the reference event used to define the temporal relationship with another event.	Timing Relative To From Name
C201298	C201262		DDF Timing Attribute Terminology	Timing Type		A characterization or classification of the chronological relationship between temporal events.	Timing Type
C207585	C201262		DDF Timing Attribute Terminology	Timing Value Label		The short descriptive designation for the timing value.	Timing Value Label
C201341	C201262		DDF Timing Attribute Terminology	Timing Value		The temporal value of the chronological relationship between temporal events.	Timing Value
C207586	C201262		DDF Timing Attribute Terminology	Timing Window Label		The short descriptive designation for a time period, or other type of interval, during which a temporal event may be achieved, obtained, or observed.	Timing Window Label
C201342	C201262		DDF Timing Attribute Terminology	Timing Window, Lower		The earliest chronological value of an allowable period of time during which a temporal event takes place.	Lower Timing Window
C201343	C201262		DDF Timing Attribute Terminology	Timing Window, Upper		The latest chronological value of an allowable period of time during which a temporal event takes place.	Upper Timing Window
C188712		No	DDF Transition Rule Attribute Terminology	DDF Transition Rule Attribute Terminology	DDF Transition Rule Attribute Terminology	A terminology value set relevant to the attributes of the transition rule.	CDISC DDF Transition Rule Attribute Terminology
C188835	C188712		DDF Transition Rule Attribute Terminology	Transition Rule Description		A narrative representation of the transition rule.	Transition Rule Description
C207587	C188712		DDF Transition Rule Attribute Terminology	Transition Rule Label		The short descriptive designation for the transition rule.	Transition Rule Label
C207588	C188712		DDF Transition Rule Attribute Terminology	Transition Rule Name		The literal identifier (i.e., distinctive designation) of the transition rule.	Transition Rule Name
C207589	C188712		DDF Transition Rule Attribute Terminology	Transition Rule Text		An instance of unstructured text that represents the transition rule.	Transition Rule Text
